idx,good_score,bad_score
1,-3.9092049598693848,-4.046278476715088
2,-4.767889022827148,-4.92874813079834
3,-3.7433102130889893,-4.034015655517578
4,-5.582342147827148,-5.897847652435303
5,-5.189505100250244,-5.531632900238037
6,-4.952916145324707,-5.324033260345459
7,-3.2515904903411865,-3.569420576095581
8,-6.5986480712890625,-6.725671291351318
9,-6.7319536209106445,-6.779418468475342
10,-6.670726776123047,-6.866559028625488
11,-4.789368629455566,-5.223458290100098
12,-6.100106716156006,-6.386749744415283
13,-2.7806830406188965,-2.959306478500366
14,-5.608999729156494,-5.869478225708008
15,-4.827185153961182,-4.849289417266846
16,-7.418346881866455,-7.41965913772583
17,-4.556360244750977,-4.675551891326904
18,-8.529642105102539,-8.565240859985352
19,-6.892442226409912,-7.0236382484436035
20,-4.679625988006592,-5.214126110076904
21,-7.717770576477051,-8.123132705688477
22,-6.106189727783203,-6.403475761413574
23,-5.347885608673096,-5.5055928230285645
24,-7.155540466308594,-7.056706428527832
25,-7.435250282287598,-7.527932643890381
26,-5.286833763122559,-5.158664703369141
27,-5.6510701179504395,-5.875943660736084
28,-5.162967681884766,-5.202596664428711
29,-7.968808174133301,-7.840622901916504
30,-7.1875691413879395,-7.229996204376221
31,-7.9955339431762695,-7.956151962280273
32,-5.363955974578857,-5.704767227172852
33,-4.289888381958008,-4.52802038192749
34,-7.19906759262085,-7.503119945526123
35,-5.5291032791137695,-5.992069721221924
36,-3.4737515449523926,-3.492992401123047
37,-4.085845470428467,-4.283797264099121
38,-4.51221227645874,-4.607469081878662
39,-4.051149845123291,-4.11986780166626
40,-4.9123663902282715,-5.006336212158203
41,-7.240956783294678,-7.444127559661865
42,-3.291877269744873,-3.084646701812744
43,-5.87362813949585,-5.805159568786621
44,-6.2164225578308105,-6.522975444793701
45,-6.201403617858887,-6.760472297668457
46,-6.265918731689453,-6.479043483734131
47,-5.370393753051758,-5.462912559509277
48,-5.664320945739746,-5.819262504577637
49,-6.751004219055176,-6.897099018096924
50,-8.40388298034668,-8.657058715820312
51,-7.203071117401123,-7.581809043884277
52,-6.77650260925293,-7.177763938903809
53,-4.869983673095703,-5.057348251342773
54,-3.454495906829834,-3.5464892387390137
55,-5.882590293884277,-6.353834629058838
56,-4.375311374664307,-4.575188636779785
57,-5.398317813873291,-5.6044921875
58,-4.690462589263916,-4.722761631011963
59,-4.752309799194336,-5.0410542488098145
60,-6.296605110168457,-6.636991500854492
61,-5.426267147064209,-5.834322452545166
62,-5.766073226928711,-6.134856700897217
63,-7.114444255828857,-7.736149787902832
64,-7.324461936950684,-7.65817403793335
65,-4.386163234710693,-4.548743724822998
66,-6.644761085510254,-6.517572402954102
67,-5.261100769042969,-5.575751304626465
68,-5.471288204193115,-5.980304718017578
69,-4.746954441070557,-4.830541610717773
70,-6.555564880371094,-6.815045356750488
71,-5.331233501434326,-5.201964378356934
72,-5.234241485595703,-5.630608558654785
73,-5.7541823387146,-6.030491352081299
74,-4.9406657218933105,-5.1993632316589355
75,-5.738465309143066,-5.87362813949585
76,-7.6480712890625,-7.779367446899414
77,-5.931176662445068,-6.33349084854126
78,-8.149019241333008,-8.332639694213867
79,-4.669660568237305,-5.230020046234131
80,-6.056611061096191,-6.409203052520752
81,-5.469536781311035,-5.654478073120117
82,-7.1348161697387695,-7.190255641937256
83,-4.942692756652832,-4.975578784942627
84,-4.405692100524902,-4.733595371246338
85,-4.618119239807129,-4.730873107910156
86,-5.289825439453125,-5.2654852867126465
87,-7.545039176940918,-8.135594367980957
88,-7.230134010314941,-7.244884014129639
89,-5.687400817871094,-6.0150861740112305
90,-5.516829490661621,-5.551623821258545
91,-4.258342742919922,-4.639569282531738
92,-5.124184608459473,-5.397403240203857
93,-6.677206993103027,-6.82928991317749
94,-6.484004020690918,-6.4401092529296875
95,-4.873453617095947,-5.055012226104736
96,-6.353573799133301,-6.302420139312744
97,-5.214639663696289,-5.225681781768799
98,-5.759008884429932,-6.321771621704102
99,-3.9330098628997803,-4.116839408874512
100,-4.138425827026367,-4.314847946166992
101,-6.0771894454956055,-6.534571170806885
102,-5.153217315673828,-5.39846134185791
103,-4.7180047035217285,-5.288087844848633
104,-6.468888282775879,-6.888400077819824
105,-5.132992267608643,-5.156697750091553
106,-4.984578609466553,-5.155600070953369
107,-9.102238655090332,-9.449824333190918
108,-5.158093452453613,-5.424427032470703
109,-8.453057289123535,-8.903024673461914
110,-4.699994087219238,-4.960797309875488
111,-5.886369705200195,-6.160179615020752
112,-6.418492317199707,-6.832259178161621
113,-6.146047115325928,-6.573454856872559
114,-7.274697303771973,-7.566470146179199
115,-8.029358863830566,-8.30990219116211
116,-4.508354663848877,-4.998482704162598
117,-5.658785343170166,-5.963087558746338
118,-4.636868476867676,-4.993236541748047
119,-2.8065743446350098,-2.9692091941833496
120,-5.286781311035156,-5.416327476501465
121,-4.766137599945068,-4.918013095855713
122,-4.6118974685668945,-5.074068069458008
123,-6.70920991897583,-6.955334186553955
124,-3.7605319023132324,-3.9275636672973633
125,-3.2618892192840576,-3.3229432106018066
126,-3.6846344470977783,-3.5919599533081055
127,-6.883635520935059,-7.054502964019775
128,-4.887820243835449,-4.969056606292725
129,-5.042625427246094,-5.233565330505371
130,-4.738736152648926,-4.916193008422852
131,-5.279536724090576,-5.662600994110107
132,-5.270558834075928,-5.340672969818115
133,-3.777308464050293,-3.8843371868133545
134,-4.505960464477539,-4.753916263580322
135,-3.6053638458251953,-3.7074551582336426
136,-5.439279079437256,-5.6016435623168945
137,-6.085883140563965,-6.4022536277771
138,-4.335069179534912,-4.386132717132568
139,-3.8735814094543457,-3.9598379135131836
140,-5.5783233642578125,-5.5082573890686035
141,-5.395094394683838,-5.629845142364502
142,-6.171442985534668,-6.357933044433594
143,-6.198690891265869,-6.367992877960205
144,-3.9665839672088623,-4.045705318450928
145,-5.103304862976074,-5.281388282775879
146,-5.266524314880371,-5.46353816986084
147,-5.634416103363037,-5.6965742111206055
148,-5.738365650177002,-5.795400142669678
149,-6.327221870422363,-6.267767906188965
150,-4.344982624053955,-4.50803804397583
151,-7.220647811889648,-7.379116058349609
152,-5.491467475891113,-5.616722106933594
153,-6.420479774475098,-6.109000205993652
154,-5.733052730560303,-5.985750675201416
155,-6.681156635284424,-6.806537628173828
156,-5.266156196594238,-5.174304962158203
157,-4.983596324920654,-5.209883689880371
158,-4.517416954040527,-4.63857889175415
159,-4.348132610321045,-4.646958827972412
160,-4.142344951629639,-4.347914695739746
161,-5.279261112213135,-5.643096923828125
162,-5.187292098999023,-5.36846399307251
163,-3.2836320400238037,-3.4175808429718018
164,-3.1919567584991455,-3.3716742992401123
165,-4.834731101989746,-5.015608787536621
166,-4.642403602600098,-4.710429668426514
167,-4.979137897491455,-5.193505764007568
168,-5.423637866973877,-5.576134204864502
169,-5.127737522125244,-5.26810884475708
170,-5.367433071136475,-5.5977396965026855
171,-5.98960018157959,-6.065206527709961
172,-4.8641228675842285,-5.253261566162109
173,-4.375268936157227,-4.4673285484313965
174,-5.077086925506592,-5.321708679199219
175,-4.436210632324219,-4.719700336456299
176,-4.682987213134766,-4.812132358551025
177,-4.826339244842529,-4.862456321716309
178,-7.345242977142334,-7.161830902099609
179,-4.319894790649414,-4.5420823097229
180,-5.179574966430664,-5.462532043457031
181,-3.1433374881744385,-3.130553960800171
182,-7.569026947021484,-7.728727340698242
183,-6.032649517059326,-6.267958641052246
184,-4.776392459869385,-4.925110816955566
185,-7.03873348236084,-7.165821075439453
186,-7.154057025909424,-7.126222610473633
187,-5.709718704223633,-6.134681701660156
