idx,good_score,bad_score
1,-5.863130569458008,-5.979212284088135
2,-5.547934532165527,-5.589205741882324
3,-4.391414642333984,-4.5430426597595215
4,-7.643145561218262,-7.672304153442383
5,-6.48057746887207,-6.711990833282471
6,-6.603653430938721,-6.712550163269043
7,-4.592377662658691,-4.771841526031494
8,-8.570670127868652,-8.690921783447266
9,-8.591134071350098,-8.511885643005371
10,-8.367790222167969,-8.31089973449707
11,-5.868445873260498,-6.084235668182373
12,-7.317795753479004,-7.570556640625
13,-4.643978595733643,-4.636794567108154
14,-7.435601234436035,-7.574620723724365
15,-6.663115978240967,-6.824183464050293
16,-7.6673126220703125,-7.459982872009277
17,-5.574387550354004,-5.698653697967529
18,-8.980241775512695,-8.824140548706055
19,-8.387211799621582,-8.5288667678833
20,-6.829287528991699,-7.068757057189941
21,-7.692142486572266,-8.130149841308594
22,-7.995794773101807,-8.047479629516602
23,-4.839864730834961,-4.930669784545898
24,-8.528430938720703,-8.473523139953613
25,-8.337414741516113,-8.453929901123047
26,-6.032196998596191,-5.909748077392578
27,-6.892873764038086,-6.796276092529297
28,-6.264438629150391,-6.256987571716309
29,-9.110800743103027,-9.188517570495605
30,-7.845016956329346,-7.689402103424072
31,-8.179386138916016,-8.022729873657227
32,-6.643675804138184,-6.840404510498047
33,-5.92359733581543,-5.994709491729736
34,-7.794416427612305,-7.613199234008789
35,-7.327195644378662,-7.495543003082275
36,-5.17558479309082,-5.221845626831055
37,-5.188047409057617,-5.168384552001953
38,-6.045071601867676,-5.972651958465576
39,-5.236878871917725,-5.33984375
40,-6.3125200271606445,-6.365593910217285
41,-8.222990036010742,-8.184813499450684
42,-4.800166606903076,-4.606082916259766
43,-6.882126808166504,-6.933797836303711
44,-6.465543746948242,-6.435789108276367
45,-7.613030433654785,-8.038951873779297
46,-7.422723770141602,-7.5612897872924805
47,-5.968886852264404,-6.032321929931641
48,-6.462879180908203,-6.413330078125
49,-7.548439979553223,-7.812498092651367
50,-8.501591682434082,-8.906209945678711
51,-7.812542915344238,-8.07998275756836
52,-9.592525482177734,-9.213183403015137
53,-6.902137279510498,-6.820621490478516
54,-5.967425346374512,-5.97266960144043
55,-6.8497772216796875,-7.070955753326416
56,-5.12222957611084,-5.327826023101807
57,-6.4336442947387695,-6.367333889007568
58,-6.88626766204834,-6.937725067138672
59,-6.315558910369873,-6.419715881347656
60,-7.273795127868652,-7.175224304199219
61,-6.0023369789123535,-6.1916608810424805
62,-6.400472640991211,-6.555830001831055
63,-8.045701026916504,-8.374953269958496
64,-9.43374252319336,-9.475985527038574
65,-5.5692524909973145,-5.708070278167725
66,-6.850711822509766,-6.762494087219238
67,-5.825185298919678,-6.085019588470459
68,-6.166173458099365,-6.4739508628845215
69,-5.689450740814209,-5.633857727050781
70,-8.113941192626953,-8.165724754333496
71,-5.818567276000977,-5.891412258148193
72,-5.821883201599121,-6.070878982543945
