idx,good_score,bad_score
1,-4.42881965637207,-4.5841064453125
2,-4.478272914886475,-4.639821529388428
3,-4.037369728088379,-4.326282024383545
4,-5.108127593994141,-5.458296775817871
5,-5.324831485748291,-5.6710615158081055
6,-5.282571792602539,-5.609516620635986
7,-4.200116157531738,-4.496908187866211
8,-7.433060646057129,-7.562567234039307
9,-7.490874767303467,-7.634942531585693
10,-7.323667049407959,-7.507691383361816
11,-4.914496898651123,-5.314457893371582
12,-6.2112908363342285,-6.605789661407471
13,-2.9310343265533447,-3.09428071975708
14,-6.089285850524902,-6.46693754196167
15,-4.8039984703063965,-5.203092098236084
16,-6.843053340911865,-7.085590839385986
17,-4.892664432525635,-5.050982475280762
18,-9.117280960083008,-9.126350402832031
19,-6.630305767059326,-6.85413932800293
20,-4.480782985687256,-5.054364204406738
21,-6.901456356048584,-7.1827874183654785
22,-6.164809703826904,-6.411568641662598
23,-5.591195583343506,-5.697722434997559
24,-8.027937889099121,-7.708717346191406
25,-6.566577434539795,-6.704033851623535
26,-4.646642684936523,-4.500944137573242
27,-7.163033485412598,-7.088754177093506
28,-4.573040962219238,-4.64506721496582
29,-7.273358345031738,-7.233257293701172
30,-6.047056198120117,-5.992871284484863
31,-7.291121482849121,-7.230801582336426
32,-5.283904552459717,-5.700674057006836
33,-5.182157516479492,-5.396717071533203
34,-5.628920555114746,-5.745436668395996
35,-5.1499247550964355,-5.4422926902771
36,-3.4322049617767334,-3.470071315765381
37,-4.6497883796691895,-4.8419880867004395
38,-4.9755659103393555,-5.037442684173584
39,-4.430961608886719,-4.697535514831543
40,-4.875829219818115,-4.916160583496094
41,-6.054965972900391,-6.514701843261719
42,-3.5742223262786865,-3.4856462478637695
43,-5.9550909996032715,-5.984502792358398
44,-5.578603744506836,-5.7451558113098145
45,-6.3074493408203125,-6.842995643615723
46,-7.816070079803467,-7.9150071144104
47,-5.164189338684082,-5.188518047332764
48,-6.0519914627075195,-6.264766693115234
49,-6.501039981842041,-6.7955403327941895
50,-7.248424053192139,-7.668184757232666
51,-6.7188239097595215,-7.04464864730835
52,-5.161705017089844,-5.8775835037231445
53,-4.743869304656982,-4.964226722717285
54,-3.349761962890625,-3.3808398246765137
55,-5.104429244995117,-5.732133865356445
56,-4.096559047698975,-4.334259033203125
57,-5.627284049987793,-5.711036205291748
58,-4.35727596282959,-4.489073276519775
59,-4.339231014251709,-4.664177894592285
60,-5.853120803833008,-6.033453464508057
61,-5.021618843078613,-5.406277656555176
62,-5.157589912414551,-5.625829696655273
63,-6.511954307556152,-7.124320983886719
64,-6.49802303314209,-6.825852870941162
65,-3.944664478302002,-4.110507965087891
66,-6.05511474609375,-5.979592323303223
67,-4.403800964355469,-4.760472297668457
68,-4.555458068847656,-5.038613319396973
69,-4.67756986618042,-4.8014044761657715
70,-5.619488716125488,-5.874077796936035
71,-4.391554832458496,-4.308006286621094
72,-4.809169769287109,-5.049895763397217
73,-5.097660541534424,-5.32144832611084
74,-5.776148319244385,-6.017658233642578
75,-5.531239986419678,-5.645759582519531
76,-7.56894588470459,-7.664304733276367
77,-5.403914451599121,-5.667566299438477
78,-7.647058010101318,-7.737386226654053
79,-4.936020374298096,-5.547577857971191
80,-5.77327823638916,-5.975826263427734
81,-5.545103073120117,-5.640312194824219
82,-6.521555423736572,-6.830129146575928
83,-4.584627151489258,-4.546701431274414
84,-4.316878318786621,-4.52039909362793
85,-4.891912460327148,-5.000438213348389
86,-6.124001979827881,-6.153613567352295
87,-7.478400707244873,-8.148004531860352
88,-8.673084259033203,-8.82789421081543
89,-5.653348445892334,-5.933495998382568
90,-5.754948139190674,-5.856207370758057
91,-4.827826499938965,-5.190195083618164
92,-5.448627948760986,-5.685743808746338
93,-6.501392364501953,-6.738249778747559
94,-5.862595558166504,-5.842728614807129
95,-5.064858436584473,-5.27818489074707
96,-6.211338520050049,-6.1500396728515625
97,-5.072308540344238,-5.10206937789917
98,-5.233185768127441,-5.757617473602295
99,-3.905426502227783,-4.1063642501831055
100,-4.585768699645996,-4.769369125366211
101,-5.831503868103027,-6.246326446533203
102,-6.621903419494629,-7.028227806091309
103,-4.708569526672363,-5.034421920776367
104,-5.555978298187256,-5.758054256439209
105,-5.709880352020264,-5.726880073547363
106,-5.211279392242432,-5.3292646408081055
107,-7.631170749664307,-8.322308540344238
108,-5.570467948913574,-6.017653465270996
109,-9.022429466247559,-9.428990364074707
110,-4.243345260620117,-4.426504135131836
111,-5.175784587860107,-5.373088836669922
112,-5.915990352630615,-6.386024475097656
113,-5.665792942047119,-6.058317184448242
114,-7.040057182312012,-7.569744110107422
115,-7.951621055603027,-7.978265285491943
116,-4.0733723640441895,-4.426393032073975
117,-5.45812463760376,-5.774357795715332
118,-4.924465656280518,-5.2487053871154785
119,-3.054619312286377,-3.1994574069976807
120,-5.314500331878662,-5.4509477615356445
121,-5.001935958862305,-5.098738193511963
122,-3.6696970462799072,-4.115354537963867
123,-5.850266933441162,-6.229565620422363
124,-3.579756736755371,-3.7617082595825195
125,-3.281409740447998,-3.3191850185394287
126,-3.3550944328308105,-3.2413809299468994
