idx,good_score,bad_score
1,-4.66702127456665,-4.770456314086914
2,-4.762696266174316,-4.861146450042725
3,-4.26148796081543,-4.518439769744873
4,-5.401889801025391,-5.560824871063232
5,-5.793309211730957,-6.115098476409912
6,-4.870317459106445,-5.13131046295166
7,-4.317267894744873,-4.562583923339844
8,-7.4526567459106445,-7.739684581756592
9,-7.6564764976501465,-7.829716682434082
10,-7.3451457023620605,-7.631665229797363
11,-4.599191188812256,-4.8582353591918945
12,-6.197198390960693,-6.543591022491455
13,-3.1377909183502197,-3.222109079360962
14,-6.510481357574463,-6.790467739105225
15,-4.715561389923096,-4.935267448425293
16,-6.570498466491699,-6.5190043449401855
17,-5.2599711418151855,-5.413217544555664
18,-8.361808776855469,-8.459295272827148
19,-6.954417705535889,-7.140335559844971
20,-4.488956451416016,-5.2078728675842285
21,-6.172914981842041,-6.457606792449951
22,-6.605315685272217,-6.958966255187988
23,-5.580582141876221,-5.689874172210693
24,-7.830018043518066,-7.837904930114746
25,-6.658667087554932,-6.868770599365234
26,-4.9093918800354,-4.802443027496338
27,-6.750023365020752,-6.603206157684326
28,-5.283403396606445,-5.309788703918457
29,-6.920207500457764,-7.0463409423828125
30,-5.847104072570801,-5.6739277839660645
31,-7.314908504486084,-7.243838787078857
32,-5.395641326904297,-5.677266597747803
33,-5.647131443023682,-5.83527135848999
34,-5.360257625579834,-5.56355094909668
35,-5.095879554748535,-5.376646995544434
36,-3.9614980220794678,-3.9500041007995605
37,-4.784224987030029,-4.892369747161865
38,-5.538114070892334,-5.602578163146973
39,-4.843326568603516,-4.999697208404541
40,-5.010095596313477,-5.081411361694336
41,-6.134161949157715,-6.5338454246521
42,-3.7621824741363525,-3.6964573860168457
43,-5.777372360229492,-5.894845962524414
44,-5.786016464233398,-5.873272895812988
45,-6.434582233428955,-6.997968673706055
46,-7.946458339691162,-8.042781829833984
47,-5.148799419403076,-5.19902229309082
48,-6.778011322021484,-6.940042495727539
49,-6.4201979637146,-6.489161491394043
50,-7.524705410003662,-7.6179351806640625
51,-6.981151580810547,-7.138320446014404
52,-5.9196624755859375,-6.3036603927612305
53,-5.113977909088135,-5.331103801727295
54,-4.145264625549316,-4.177073001861572
55,-5.316542148590088,-5.902811050415039
56,-4.184274196624756,-4.353898048400879
57,-5.2653045654296875,-5.347485065460205
58,-5.535555839538574,-5.601229190826416
59,-4.282839298248291,-4.524974346160889
60,-5.9412431716918945,-6.358135223388672
61,-4.8525919914245605,-5.213070392608643
62,-4.475056171417236,-4.888839244842529
63,-6.390466213226318,-6.899750709533691
64,-6.667372226715088,-6.983234882354736
