idx,good_score,bad_score
1,-4.942685127258301,-5.110428810119629
2,-4.7594804763793945,-4.909282684326172
3,-3.865243911743164,-4.147898197174072
4,-5.961128234863281,-6.093368053436279
5,-5.853013515472412,-6.15059232711792
6,-5.6453375816345215,-5.915192127227783
7,-4.022140026092529,-4.300527095794678
8,-8.040907859802246,-8.156012535095215
9,-8.006219863891602,-8.078852653503418
10,-8.01519775390625,-8.08690357208252
11,-4.999253273010254,-5.21304988861084
12,-6.4296746253967285,-6.835051536560059
13,-3.1497442722320557,-3.3477623462677
14,-6.072342872619629,-6.4277215003967285
15,-4.821481227874756,-5.051501750946045
16,-7.21543025970459,-7.11656379699707
17,-5.674474716186523,-5.730108261108398
18,-8.697315216064453,-8.629072189331055
19,-7.506479263305664,-7.588129043579102
20,-5.111514568328857,-5.589836597442627
21,-6.1641435623168945,-6.5149030685424805
22,-6.847042083740234,-6.968500137329102
23,-5.4266228675842285,-5.505737781524658
24,-8.157957077026367,-7.918557643890381
25,-6.556645393371582,-6.809823513031006
26,-4.767792701721191,-4.674830913543701
27,-7.4035844802856445,-7.085748195648193
28,-4.703951358795166,-4.805731773376465
29,-7.836180210113525,-7.733879089355469
30,-6.389003276824951,-6.358407497406006
31,-7.555968284606934,-7.483059883117676
32,-5.395957946777344,-5.811013698577881
33,-5.641058444976807,-5.922215461730957
34,-5.895539283752441,-5.931546688079834
35,-5.635811805725098,-6.078894138336182
36,-4.07144021987915,-4.102841377258301
37,-4.704987525939941,-4.8868632316589355
38,-5.459752559661865,-5.431872367858887
39,-5.000132083892822,-5.137365341186523
40,-5.094184398651123,-5.1397857666015625
41,-7.194846153259277,-7.467388153076172
42,-3.9728169441223145,-3.846646547317505
43,-6.448441982269287,-6.4132537841796875
44,-6.268234729766846,-6.249292373657227
45,-6.549243450164795,-7.101924896240234
46,-8.446612358093262,-8.540776252746582
47,-5.370591163635254,-5.411882400512695
48,-6.164071083068848,-6.306859493255615
49,-7.318709373474121,-7.662392616271973
50,-8.708419799804688,-8.971186637878418
51,-7.760643005371094,-8.076120376586914
52,-6.571676731109619,-6.918219566345215
53,-5.097175121307373,-5.222434043884277
54,-4.206510543823242,-4.220081329345703
55,-5.67835807800293,-6.189474582672119
56,-4.640201568603516,-4.6822309494018555
57,-5.767413139343262,-5.816677570343018
58,-6.229180335998535,-6.233382225036621
59,-4.768491268157959,-5.099193096160889
60,-6.434713363647461,-6.4772443771362305
61,-5.6725053787231445,-6.126364707946777
62,-5.333196640014648,-5.860156059265137
63,-6.646617412567139,-7.387621879577637
64,-7.513139724731445,-7.771615505218506
65,-4.744134426116943,-4.885746002197266
66,-6.488842010498047,-6.452579498291016
67,-4.6614670753479,-5.0339508056640625
68,-5.443482875823975,-5.839190483093262
69,-4.717009544372559,-4.751147747039795
70,-6.079606056213379,-6.363254547119141
71,-5.37734317779541,-5.170524597167969
72,-5.304074764251709,-5.654731273651123
73,-5.87437105178833,-6.023229122161865
74,-6.143566131591797,-6.441644191741943
75,-6.164302825927734,-6.269311428070068
76,-7.521265029907227,-7.517233848571777
77,-5.578518390655518,-5.797345161437988
78,-7.869952201843262,-7.678405284881592
79,-5.774538516998291,-6.303256034851074
80,-5.9268388748168945,-6.240711212158203
81,-5.665528297424316,-5.887856483459473
82,-6.776077747344971,-6.95081090927124
83,-5.394591331481934,-5.3415985107421875
84,-4.896496772766113,-5.05242395401001
85,-4.9563984870910645,-5.066071033477783
86,-6.117181301116943,-6.151088237762451
87,-7.562793254852295,-8.12684440612793
88,-8.946710586547852,-9.084577560424805
89,-6.10963773727417,-6.281095504760742
90,-6.395426273345947,-6.431999206542969
91,-5.336702346801758,-5.742545127868652
92,-5.762412071228027,-6.050517559051514
93,-6.617757320404053,-6.761512756347656
94,-5.953495979309082,-5.804461479187012
95,-5.366934299468994,-5.50738525390625
96,-6.593531131744385,-6.1771039962768555
97,-5.594361782073975,-5.570450305938721
98,-5.805273532867432,-6.18499231338501
99,-4.722020626068115,-4.875087738037109
100,-5.494347095489502,-5.628747463226318
101,-6.697068691253662,-7.215515613555908
102,-6.8641157150268555,-7.112033843994141
103,-4.663540363311768,-5.14223575592041
104,-6.378219127655029,-6.451515197753906
105,-6.355633735656738,-6.360101222991943
106,-5.515475273132324,-5.631907939910889
107,-9.15826416015625,-9.246583938598633
108,-5.991000652313232,-6.403253078460693
109,-8.369078636169434,-8.850594520568848
110,-4.525679111480713,-4.894084453582764
111,-6.453958988189697,-6.584547996520996
112,-6.435518264770508,-6.549886226654053
113,-5.6924567222595215,-6.033533573150635
114,-7.399111747741699,-7.720164775848389
115,-8.10622787475586,-8.492559432983398
116,-4.752868175506592,-4.930435657501221
117,-6.514057636260986,-6.849341869354248
118,-5.3543291091918945,-5.650697708129883
119,-3.2162044048309326,-3.3767826557159424
120,-5.074061870574951,-5.224709510803223
121,-5.003922462463379,-5.1599273681640625
122,-4.18436336517334,-4.602138042449951
123,-5.864736557006836,-6.076082229614258
124,-4.184543609619141,-4.461010932922363
125,-3.507805824279785,-3.601248025894165
126,-4.170265197753906,-4.094377517700195
127,-6.352266788482666,-6.503544330596924
128,-4.961861610412598,-5.056067943572998
129,-4.911997318267822,-5.0507049560546875
130,-4.575525760650635,-4.75338888168335
