idx,good_score,bad_score
1,-6.71522331237793,-7.907618999481201
2,-7.691082954406738,-9.050100326538086
3,-7.360621929168701,-7.915994167327881
4,-7.803220272064209,-8.892472267150879
5,-8.487318992614746,-10.766548156738281
6,-4.086759090423584,-4.417590618133545
7,-7.1896257400512695,-8.253263473510742
8,-4.686428070068359,-4.8521928787231445
9,-6.555631637573242,-7.608712673187256
10,-10.093265533447266,-10.48298454284668
11,-7.193376541137695,-8.73822021484375
12,-7.9574432373046875,-9.099708557128906
13,-4.108980655670166,-4.37893533706665
14,-5.035369873046875,-5.280966281890869
15,-7.917199611663818,-8.374161720275879
16,-5.454150676727295,-5.701547622680664
17,-8.195361137390137,-8.155695915222168
18,-7.217955589294434,-7.848498344421387
19,-8.160911560058594,-9.215354919433594
20,-3.7667970657348633,-4.056418418884277
21,-6.931971549987793,-8.233116149902344
22,-5.329615116119385,-5.613004207611084
23,-4.998821258544922,-5.124087333679199
24,-8.060254096984863,-9.477788925170898
25,-8.219080924987793,-8.864299774169922
26,-4.684562683105469,-5.357242584228516
27,-4.0136613845825195,-4.568172454833984
28,-6.284865856170654,-8.094425201416016
29,-4.313043594360352,-4.539422512054443
30,-11.561439514160156,-12.350967407226562
31,-9.55648136138916,-9.787464141845703
32,-8.43623161315918,-9.089228630065918
33,-7.516812801361084,-9.855480194091797
34,-7.957699298858643,-8.542844772338867
35,-7.653419494628906,-8.230103492736816
36,-3.5018386840820312,-3.925466299057007
37,-6.298628807067871,-6.46977424621582
38,-5.039644718170166,-5.24444055557251
39,-6.871623516082764,-7.249691486358643
40,-5.943046569824219,-6.913590431213379
41,-10.481080055236816,-10.439499855041504
42,-9.138859748840332,-10.012585639953613
43,-11.146417617797852,-11.83177661895752
44,-8.078837394714355,-8.7070951461792
45,-9.164925575256348,-9.90495491027832
46,-9.155279159545898,-10.05880069732666
47,-6.887485027313232,-8.48791790008545
48,-7.1363325119018555,-8.293634414672852
49,-6.166262626647949,-7.129005432128906
50,-7.126306056976318,-8.21198558807373
51,-5.848257064819336,-6.511744022369385
52,-6.712404251098633,-6.844479560852051
53,-7.913148403167725,-8.477410316467285
54,-5.203515529632568,-5.3407464027404785
55,-6.4254279136657715,-6.978799343109131
56,-7.222344875335693,-7.649468421936035
57,-5.6321797370910645,-5.819174289703369
58,-3.3133833408355713,-3.5609660148620605
59,-4.369908809661865,-4.656501293182373
60,-5.077415466308594,-5.700632095336914
61,-7.913656711578369,-8.74014663696289
62,-7.869627952575684,-8.031843185424805
63,-7.042115688323975,-7.3357744216918945
64,-5.999842166900635,-6.354679584503174
65,-3.6167027950286865,-3.7586705684661865
66,-8.347061157226562,-8.570947647094727
67,-10.12070369720459,-11.338233947753906
68,-6.695263862609863,-8.060148239135742
69,-6.7209625244140625,-6.97151517868042
70,-6.994901180267334,-8.180196762084961
71,-7.1638946533203125,-7.093352317810059
72,-6.787820339202881,-8.262310028076172
73,-7.228011131286621,-8.04654312133789
74,-5.020925045013428,-5.414328098297119
75,-4.866856575012207,-4.96400785446167
76,-5.971065044403076,-6.579240322113037
77,-7.753251552581787,-8.99028491973877
78,-8.268216133117676,-10.09008502960205
79,-7.093997478485107,-7.435365200042725
80,-4.465516567230225,-4.756051540374756
81,-6.123630523681641,-6.605620861053467
82,-5.863392353057861,-6.368160724639893
83,-5.533130168914795,-5.8663411140441895
84,-7.110782623291016,-7.469671726226807
85,-7.586301803588867,-8.13558578491211
86,-6.163564682006836,-7.190258026123047
87,-7.085928916931152,-8.32829761505127
88,-6.256401062011719,-7.261611461639404
89,-11.088786125183105,-11.626784324645996
90,-10.385688781738281,-11.142473220825195
91,-7.203807353973389,-7.870109558105469
92,-5.44325065612793,-5.641069412231445
93,-5.920848846435547,-6.370638847351074
94,-12.949407577514648,-12.469700813293457
95,-7.9202375411987305,-9.079202651977539
96,-8.764595985412598,-9.154739379882812
97,-4.2059526443481445,-4.383735656738281
98,-6.272792339324951,-6.675265312194824
99,-6.980273246765137,-8.27383804321289
100,-4.154722690582275,-4.395934104919434
101,-5.8976335525512695,-6.519647121429443
102,-6.517518043518066,-7.0875139236450195
103,-5.966342926025391,-6.118137359619141
104,-6.709789276123047,-7.262073516845703
105,-7.489789962768555,-8.454379081726074
106,-7.786783218383789,-8.562152862548828
107,-4.192928791046143,-4.356797218322754
108,-5.440789699554443,-5.95775842666626
109,-5.02539587020874,-5.238312721252441
110,-9.186727523803711,-10.49677848815918
111,-6.1680707931518555,-7.033539295196533
112,-7.060619354248047,-7.977996349334717
113,-8.262086868286133,-9.353968620300293
114,-9.184619903564453,-10.234764099121094
115,-7.118547439575195,-7.955356597900391
116,-8.106236457824707,-9.648771286010742
117,-7.704658031463623,-9.181083679199219
118,-7.143734931945801,-7.6989264488220215
119,-4.717291355133057,-5.092986583709717
120,-4.969131946563721,-5.155090808868408
121,-5.429009914398193,-5.680103778839111
122,-7.301375389099121,-8.233377456665039
123,-3.841175079345703,-4.143961429595947
124,-6.816725254058838,-6.975389003753662
125,-9.80215072631836,-10.182662963867188
126,-6.396456718444824,-6.667140007019043
127,-6.433238506317139,-6.433238506317139
128,-5.099699020385742,-5.457279205322266
129,-7.738358497619629,-9.15200424194336
130,-5.123507499694824,-5.610753059387207
131,-7.977503776550293,-9.21586799621582
132,-7.250817775726318,-7.597293376922607
133,-8.633646011352539,-9.154898643493652
134,-4.065354824066162,-4.548409938812256
135,-6.371093273162842,-7.060029029846191
136,-8.934530258178711,-9.847838401794434
137,-5.142308235168457,-5.893467426300049
138,-5.503414154052734,-5.81275749206543
139,-4.677556037902832,-5.422168254852295
140,-7.456308841705322,-8.356328964233398
141,-9.50999641418457,-10.886248588562012
142,-8.176084518432617,-9.843717575073242
143,-4.493203639984131,-4.702929496765137
144,-9.160076141357422,-9.966206550598145
145,-7.987449645996094,-9.40005111694336
146,-6.500988960266113,-6.788819789886475
147,-7.031827449798584,-7.864266395568848
148,-8.781667709350586,-9.740608215332031
149,-6.667908668518066,-7.05232048034668
150,-4.194937229156494,-4.842104434967041
151,-8.447574615478516,-8.9334716796875
152,-3.461090564727783,-3.6955184936523438
153,-6.704907417297363,-7.611814975738525
154,-7.141992568969727,-7.42487096786499
155,-4.561936855316162,-4.74293327331543
156,-8.910564422607422,-9.719565391540527
157,-9.06446361541748,-9.885703086853027
158,-3.3901050090789795,-3.59196400642395
159,-9.90606689453125,-10.132698059082031
160,-7.537525177001953,-8.585317611694336
161,-6.0603837966918945,-6.499198913574219
162,-7.935295581817627,-8.295454978942871
163,-8.134315490722656,-9.143560409545898
164,-4.693248748779297,-5.51193904876709
165,-8.781368255615234,-9.535666465759277
166,-10.699312210083008,-12.2769193649292
167,-8.95511245727539,-9.870281219482422
168,-7.00916051864624,-7.778566837310791
169,-7.421875,-8.430731773376465
170,-8.21110725402832,-9.239021301269531
171,-9.161101341247559,-9.830026626586914
172,-6.393838405609131,-6.4852752685546875
173,-9.527650833129883,-10.318607330322266
174,-6.153223991394043,-6.488077640533447
175,-6.2009453773498535,-6.568645000457764
176,-9.338729858398438,-9.740760803222656
177,-8.48792552947998,-9.441581726074219
178,-7.20754861831665,-7.961164951324463
179,-5.643250465393066,-5.772364616394043
180,-9.848611831665039,-10.04172420501709
181,-6.70428991317749,-8.244640350341797
182,-7.003658771514893,-7.349916934967041
183,-7.170228481292725,-8.28361701965332
