idx,good_score,bad_score
1,-8.56402587890625,-8.779396057128906
2,-7.648905277252197,-9.169031143188477
3,-8.724987983703613,-8.831938743591309
4,-7.454326629638672,-8.21289348602295
5,-7.064197540283203,-7.870645046234131
6,-7.020252704620361,-7.910667419433594
7,-7.141591548919678,-7.938498020172119
8,-8.451237678527832,-8.472406387329102
9,-7.356630325317383,-8.810173988342285
10,-8.468840599060059,-8.3818359375
11,-7.220494747161865,-8.16480827331543
12,-6.956857681274414,-7.819855213165283
13,-7.012497425079346,-7.924127578735352
14,-7.013105869293213,-7.8841423988342285
15,-8.633707046508789,-8.761918067932129
16,-7.813671112060547,-9.327018737792969
17,-8.608781814575195,-8.770779609680176
18,-7.718354225158691,-8.502443313598633
19,-7.481719970703125,-8.23948860168457
20,-7.431972503662109,-8.25556755065918
21,-7.4147796630859375,-8.223665237426758
22,-8.436285018920898,-8.58610725402832
23,-7.671485900878906,-9.172201156616211
24,-8.552841186523438,-8.636445045471191
25,-7.522609710693359,-8.339715957641602
26,-6.992012977600098,-7.897459030151367
27,-7.143395900726318,-8.046646118164062
28,-7.030884742736816,-7.955911159515381
29,-8.456136703491211,-8.584936141967773
30,-7.751392364501953,-9.170575141906738
31,-8.438085556030273,-8.489570617675781
32,-7.529871463775635,-8.349722862243652
33,-7.13374137878418,-7.9859161376953125
34,-7.293321132659912,-8.111217498779297
35,-7.108368396759033,-8.000972747802734
36,-8.119786262512207,-8.187950134277344
37,-7.330214023590088,-8.71489143371582
38,-8.122490882873535,-8.066402435302734
39,-7.1761980056762695,-8.037973403930664
40,-6.552302360534668,-7.574670791625977
41,-6.767422676086426,-7.6788411140441895
42,-6.727615833282471,-7.682180404663086
43,-8.844334602355957,-8.827659606933594
44,-8.000527381896973,-9.445352554321289
45,-8.609621047973633,-8.683858871459961
46,-7.502713203430176,-8.349112510681152
47,-7.316229820251465,-8.112581253051758
48,-7.321287631988525,-8.157535552978516
49,-7.279545307159424,-8.153986930847168
50,-8.408256530761719,-8.506011009216309
51,-7.7158942222595215,-8.960297584533691
52,-8.2987060546875,-8.337191581726074
53,-7.468502044677734,-8.341863632202148
54,-7.002098560333252,-7.963344573974609
55,-7.178153038024902,-8.018333435058594
56,-7.201727390289307,-8.140106201171875
57,-8.555065155029297,-8.698375701904297
58,-7.650562286376953,-9.205142974853516
59,-8.512046813964844,-8.582710266113281
60,-7.500290870666504,-8.492179870605469
61,-7.056617736816406,-8.087026596069336
62,-7.250839710235596,-8.232978820800781
63,-7.210465908050537,-8.237698554992676
64,-8.970710754394531,-8.944131851196289
65,-8.075929641723633,-9.322538375854492
66,-8.928327560424805,-8.90304946899414
67,-7.850415229797363,-8.587010383605957
68,-7.593721389770508,-8.307473182678223
69,-7.692187309265137,-8.398591995239258
70,-7.463961124420166,-8.200769424438477
71,-8.996325492858887,-8.85702896118164
72,-8.060450553894043,-9.535017013549805
73,-9.21844482421875,-9.027627944946289
74,-8.084681510925293,-8.809781074523926
75,-7.626323699951172,-8.415103912353516
76,-7.609124660491943,-8.463469505310059
77,-7.728679656982422,-8.519759178161621
78,-8.77973461151123,-8.421510696411133
79,-7.749574184417725,-8.966440200805664
80,-8.819873809814453,-8.41749382019043
81,-7.970371246337891,-8.736223220825195
82,-7.5662078857421875,-8.354690551757812
83,-7.680180549621582,-8.409814834594727
84,-7.673454761505127,-8.50482177734375
85,-9.01510238647461,-8.594207763671875
86,-8.206724166870117,-9.537653923034668
87,-8.971622467041016,-8.677977561950684
88,-8.255179405212402,-9.059300422668457
89,-7.882030963897705,-8.67607593536377
90,-7.9625444412231445,-8.69767951965332
91,-8.00293254852295,-8.78010082244873
92,-8.841241836547852,-8.533365249633789
93,-7.989647388458252,-9.347681999206543
94,-8.918490409851074,-8.63587760925293
95,-7.976144313812256,-8.72840690612793
96,-7.536508083343506,-8.374761581420898
97,-7.75953483581543,-8.501068115234375
98,-7.616756439208984,-8.54793930053711
99,-9.057527542114258,-8.853251457214355
100,-8.119195938110352,-9.475836753845215
101,-8.946407318115234,-8.636065483093262
102,-8.11961841583252,-8.995054244995117
103,-7.701330184936523,-8.57824420928955
104,-7.825434684753418,-8.660470962524414
105,-7.782657623291016,-8.76712703704834
106,-8.636289596557617,-8.409418106079102
107,-7.9421281814575195,-9.264395713806152
108,-8.671924591064453,-8.286460876464844
109,-7.916557788848877,-8.663875579833984
110,-7.294897556304932,-8.125783920288086
111,-7.491591453552246,-8.238848686218262
112,-7.440231800079346,-8.306147575378418
113,-9.240153312683105,-8.892040252685547
114,-8.302107810974121,-9.677627563476562
115,-9.008539199829102,-8.688579559326172
116,-8.153459548950195,-9.007925033569336
117,-7.852566719055176,-8.626344680786133
118,-7.878533363342285,-8.668407440185547
119,-7.916344165802002,-8.767316818237305
120,-8.966154098510742,-8.609511375427246
121,-8.136241912841797,-9.356666564941406
122,-8.861410140991211,-8.583955764770508
123,-8.144174575805664,-8.95982551574707
124,-7.5838823318481445,-8.484993934631348
125,-7.7643303871154785,-8.547175407409668
126,-7.873169422149658,-8.744914054870605
127,-9.193624496459961,-8.955879211425781
128,-8.232305526733398,-9.611559867858887
129,-9.136270523071289,-8.812479972839355
130,-8.240341186523438,-9.230390548706055
131,-7.832217216491699,-8.806925773620605
132,-8.031764030456543,-8.916851043701172
133,-7.9668145179748535,-8.97775650024414
134,-9.455500602722168,-9.001914024353027
135,-8.442758560180664,-9.695895195007324
136,-9.357259750366211,-8.914301872253418
137,-8.45545768737793,-9.300395011901855
138,-8.012994766235352,-8.83246898651123
139,-8.171292304992676,-8.925275802612305
140,-8.131902694702148,-9.00071907043457
141,-9.136301040649414,-9.136136054992676
142,-8.142081260681152,-9.592967987060547
143,-9.326234817504883,-9.104913711547852
144,-7.837631702423096,-8.575695037841797
145,-7.548101425170898,-8.288904190063477
146,-7.5403900146484375,-8.337526321411133
147,-7.596942901611328,-8.30962085723877
148,-9.013278007507324,-8.840556144714355
149,-7.957121849060059,-9.31076431274414
150,-9.127555847167969,-8.737218856811523
151,-7.766808986663818,-8.56511116027832
152,-7.605307102203369,-8.368202209472656
153,-7.626533508300781,-8.404114723205566
154,-7.5631585121154785,-8.442930221557617
155,-9.252344131469727,-9.126556396484375
156,-8.28909683227539,-9.727155685424805
157,-9.279335021972656,-9.152521133422852
158,-8.101869583129883,-8.931180000305176
159,-7.97968864440918,-8.715158462524414
160,-7.972711086273193,-8.719060897827148
161,-7.920930862426758,-8.717158317565918
162,-9.136736869812012,-9.083450317382812
163,-8.302345275878906,-9.746889114379883
164,-9.306478500366211,-9.121068954467773
165,-7.893606185913086,-8.766179084777832
166,-7.5869951248168945,-8.507116317749023
167,-7.7487382888793945,-8.591327667236328
168,-7.559576511383057,-8.635152816772461
169,-9.143896102905273,-9.1338529586792
170,-8.105511665344238,-9.478378295898438
171,-9.120140075683594,-8.85379409790039
172,-7.891874313354492,-8.781631469726562
173,-7.731928825378418,-8.559419631958008
174,-7.804223537445068,-8.627009391784668
175,-7.664982318878174,-8.644535064697266
176,-8.729437828063965,-8.780715942382812
177,-7.63526725769043,-8.94554328918457
178,-8.66679859161377,-8.353971481323242
179,-7.446934700012207,-8.271598815917969
180,-7.178219318389893,-7.974020957946777
181,-7.237606048583984,-8.017267227172852
182,-7.196053981781006,-8.017206192016602
183,-9.506017684936523,-9.339168548583984
184,-8.363773345947266,-9.831073760986328
185,-9.274779319763184,-9.109354972839355
186,-8.040913581848145,-8.904772758483887
187,-7.976297855377197,-8.72492790222168
188,-7.922924995422363,-8.743066787719727
189,-7.900525093078613,-8.765296936035156
190,-9.055889129638672,-8.959220886230469
191,-8.172155380249023,-9.434139251708984
192,-8.959610939025879,-8.750045776367188
193,-7.901503562927246,-8.764103889465332
194,-7.6293463706970215,-8.496663093566895
195,-7.724756717681885,-8.514922142028809
196,-7.7800068855285645,-8.6162748336792
197,-9.545988082885742,-9.46462631225586
198,-8.360204696655273,-9.862726211547852
199,-9.483943939208984,-9.231917381286621
200,-8.193222045898438,-9.17130184173584
201,-7.893957138061523,-8.901755332946777
202,-8.108756065368652,-9.013904571533203
203,-7.978708744049072,-9.029081344604492
204,-9.642029762268066,-9.532718658447266
205,-8.489068031311035,-9.778942108154297
206,-9.549884796142578,-9.270442008972168
207,-8.33715534210205,-9.141029357910156
208,-8.15368938446045,-8.857368469238281
209,-8.192571640014648,-8.91685962677002
210,-8.09813117980957,-8.879252433776855
211,-8.32190990447998,-8.667238235473633
212,-7.506894111633301,-9.049875259399414
213,-8.394025802612305,-8.636880874633789
214,-7.287381172180176,-8.121820449829102
215,-6.983242988586426,-7.756897926330566
216,-6.840939521789551,-7.7440080642700195
217,-7.035287380218506,-7.801685333251953
218,-8.558112144470215,-8.648383140563965
219,-7.6077775955200195,-9.034614562988281
220,-8.424215316772461,-8.411294937133789
221,-7.335771560668945,-8.313103675842285
222,-7.117206573486328,-7.919557094573975
223,-7.0673956871032715,-7.956375598907471
224,-7.175504684448242,-7.95885705947876
225,-8.717466354370117,-8.853267669677734
226,-7.983803749084473,-9.448907852172852
227,-8.508570671081543,-8.685332298278809
228,-7.729793548583984,-8.499409675598145
229,-7.528034687042236,-8.21147346496582
230,-7.363409042358398,-8.218179702758789
231,-7.5290021896362305,-8.212945938110352
232,-8.207517623901367,-8.401095390319824
233,-7.606180667877197,-9.050726890563965
234,-8.148033142089844,-8.30612564086914
235,-7.409526824951172,-8.212636947631836
236,-6.889279365539551,-7.6446356773376465
237,-6.95676851272583,-7.720169544219971
238,-6.805927753448486,-7.654367923736572
239,-8.145594596862793,-8.327966690063477
240,-7.52710485458374,-8.850386619567871
241,-7.978384971618652,-8.029070854187012
242,-7.289703845977783,-7.992971420288086
