idx,good_score,bad_score
1,-9.461591720581055,-9.58255386352539
2,-8.095802307128906,-9.697839736938477
3,-9.466772079467773,-9.692168235778809
4,-8.15936279296875,-9.11330795288086
5,-7.785824775695801,-8.721839904785156
6,-7.80344820022583,-8.770136833190918
7,-7.9906792640686035,-8.793313980102539
8,-9.096529960632324,-9.40728759765625
9,-7.804392337799072,-9.264030456542969
10,-9.138626098632812,-9.306563377380371
11,-7.9889702796936035,-8.848285675048828
12,-7.638284206390381,-8.42579174041748
13,-7.73969030380249,-8.53993034362793
14,-7.726013660430908,-8.462627410888672
15,-9.487098693847656,-9.735225677490234
16,-8.432247161865234,-10.048542022705078
17,-9.537939071655273,-9.84827995300293
18,-8.572028160095215,-9.432012557983398
19,-8.158239364624023,-8.971953392028809
20,-8.125950813293457,-8.980175018310547
21,-8.290022850036621,-8.988042831420898
22,-9.42681884765625,-9.658366203308105
23,-8.327509880065918,-9.906339645385742
24,-9.358993530273438,-9.492902755737305
25,-8.338638305664062,-9.253707885742188
26,-7.808042049407959,-8.780585289001465
27,-8.07579231262207,-8.975597381591797
28,-8.028573989868164,-8.721429824829102
29,-9.190505027770996,-9.398459434509277
30,-8.170591354370117,-9.757983207702637
31,-9.082526206970215,-9.22861385345459
32,-8.046353340148926,-8.912211418151855
33,-7.673995018005371,-8.442985534667969
34,-7.783224105834961,-8.557210922241211
35,-7.698282241821289,-8.38879680633545
36,-8.982288360595703,-9.348310470581055
37,-7.990307807922363,-9.484491348266602
38,-8.89892578125,-9.010970115661621
39,-7.838248252868652,-8.78060531616211
40,-7.408405303955078,-8.251363754272461
41,-7.564436912536621,-8.361860275268555
42,-7.577345848083496,-8.353240966796875
43,-9.499835968017578,-9.570568084716797
44,-8.289175033569336,-9.785085678100586
45,-9.471259117126465,-9.547934532165527
46,-8.195757865905762,-9.031943321228027
47,-7.851105213165283,-8.673849105834961
48,-7.921034812927246,-8.69446849822998
49,-8.070136070251465,-8.645112991333008
50,-9.479063987731934,-9.663536071777344
51,-8.257939338684082,-9.779735565185547
52,-9.361507415771484,-9.486845970153809
53,-8.251014709472656,-9.083823204040527
54,-7.783269882202148,-8.60238265991211
55,-7.995527267456055,-8.766975402832031
56,-8.151611328125,-8.69900131225586
57,-9.669107437133789,-9.928932189941406
58,-8.416056632995605,-10.108451843261719
59,-9.587043762207031,-9.790313720703125
60,-8.499220848083496,-9.542840957641602
61,-8.12693977355957,-9.14959716796875
62,-8.269126892089844,-9.312606811523438
63,-8.39173412322998,-9.230581283569336
64,-9.834484100341797,-9.925178527832031
65,-8.558721542358398,-9.954530715942383
66,-9.759248733520508,-9.838004112243652
67,-8.687514305114746,-9.395209312438965
68,-8.172445297241211,-8.870152473449707
69,-8.376025199890137,-9.008636474609375
70,-8.364398956298828,-8.945040702819824
71,-9.70893669128418,-9.635936737060547
72,-8.47350025177002,-10.082456588745117
73,-9.869382858276367,-9.858125686645508
74,-8.529720306396484,-9.4508056640625
75,-8.124250411987305,-9.050997734069824
76,-8.221896171569824,-9.073713302612305
77,-8.31107234954834,-9.12700080871582
78,-9.496358871459961,-9.512171745300293
79,-8.298542022705078,-9.517367362976074
80,-9.605676651000977,-9.471948623657227
81,-8.50763988494873,-9.371414184570312
82,-8.1907377243042,-8.996563911437988
83,-8.280134201049805,-9.115522384643555
84,-8.180688858032227,-9.01109504699707
85,-9.843111038208008,-9.776022911071777
86,-8.857356071472168,-10.309080123901367
87,-9.915594100952148,-9.860491752624512
88,-8.885595321655273,-9.830795288085938
89,-8.479811668395996,-9.400341033935547
90,-8.591114044189453,-9.438720703125
91,-8.71010971069336,-9.453123092651367
92,-9.646941184997559,-9.551471710205078
93,-8.65945053100586,-10.063963890075684
94,-9.594645500183105,-9.437955856323242
95,-8.533453941345215,-9.496774673461914
96,-8.160661697387695,-9.101594924926758
97,-8.398805618286133,-9.29998779296875
98,-8.32390022277832,-9.094456672668457
99,-9.776961326599121,-9.690305709838867
100,-8.76601791381836,-10.22761344909668
101,-9.742473602294922,-9.548068046569824
102,-8.484042167663574,-9.41500473022461
103,-8.174383163452148,-8.99901008605957
104,-8.324850082397461,-9.111525535583496
105,-8.309663772583008,-9.011249542236328
106,-9.26609992980957,-9.258949279785156
107,-8.439807891845703,-9.773966789245605
108,-9.188373565673828,-9.1038236618042
109,-8.071233749389648,-9.071701049804688
110,-7.817464828491211,-8.562322616577148
111,-7.8554863929748535,-8.60317611694336
112,-7.808895587921143,-8.619735717773438
113,-9.708483695983887,-9.517705917358398
114,-8.705565452575684,-10.009284019470215
115,-9.751665115356445,-9.54888916015625
116,-8.503462791442871,-9.38753890991211
117,-8.227949142456055,-9.05974292755127
118,-8.322851181030273,-9.091609001159668
119,-8.43113899230957,-9.099313735961914
120,-9.73587703704834,-9.61075210571289
121,-8.701892852783203,-10.13021469116211
122,-9.737666130065918,-9.564475059509277
123,-8.50168228149414,-9.409605026245117
124,-8.110088348388672,-9.004508018493652
125,-8.303767204284668,-9.102629661560059
126,-8.462154388427734,-9.112780570983887
127,-9.948317527770996,-9.932684898376465
128,-8.81192684173584,-10.314851760864258
129,-9.968957901000977,-9.87417221069336
130,-8.7986478805542,-9.891448974609375
131,-8.494658470153809,-9.522940635681152
132,-8.64104175567627,-9.736356735229492
133,-8.71815013885498,-9.61518669128418
134,-10.202695846557617,-10.000097274780273
135,-8.973904609680176,-10.325346946716309
136,-10.132411003112793,-9.8529691696167
137,-8.994071960449219,-9.928472518920898
138,-8.616630554199219,-9.504409790039062
139,-8.789896011352539,-9.554941177368164
140,-8.844230651855469,-9.542464256286621
141,-9.796894073486328,-9.741097450256348
142,-8.258963584899902,-9.774191856384277
143,-9.875082015991211,-9.813780784606934
144,-8.323405265808105,-9.278470039367676
145,-7.988834381103516,-8.848196029663086
146,-8.04243278503418,-9.046751022338867
147,-8.114381790161133,-8.980738639831543
148,-9.605977058410645,-9.715547561645508
149,-8.219738006591797,-9.45423698425293
150,-9.735570907592773,-9.638750076293945
151,-8.388927459716797,-9.342754364013672
152,-8.046695709228516,-8.863728523254395
153,-8.120418548583984,-9.10477352142334
154,-8.017146110534668,-8.906646728515625
155,-9.954366683959961,-9.931805610656738
156,-8.61147689819336,-9.987606048583984
157,-9.985506057739258,-9.956228256225586
158,-8.768379211425781,-9.704744338989258
159,-8.437313079833984,-9.169744491577148
160,-8.534560203552246,-9.419438362121582
161,-8.44952392578125,-9.289472579956055
162,-9.863858222961426,-9.793991088867188
163,-8.45828914642334,-9.863332748413086
164,-9.794774055480957,-9.62906551361084
165,-8.410661697387695,-9.3809175491333
166,-8.009195327758789,-8.922497749328613
167,-8.2719144821167,-9.23025894165039
168,-8.033053398132324,-8.971015930175781
169,-9.896282196044922,-9.888298034667969
170,-8.500609397888184,-9.901453018188477
171,-9.865816116333008,-9.671809196472168
172,-8.419689178466797,-9.307623863220215
173,-8.136906623840332,-8.836236953735352
174,-8.270419120788574,-9.076906204223633
175,-8.044766426086426,-8.897189140319824
176,-9.268119812011719,-9.37493896484375
177,-8.026453971862793,-9.318361282348633
178,-9.279844284057617,-9.149255752563477
179,-7.807376861572266,-8.85538387298584
180,-7.437108516693115,-8.33177375793457
181,-7.567578315734863,-8.532814025878906
182,-7.438701629638672,-8.421338081359863
183,-9.995601654052734,-9.9529390335083
184,-8.470037460327148,-9.873013496398926
185,-9.998619079589844,-9.82577133178711
186,-8.48725700378418,-9.42483901977539
187,-8.200831413269043,-9.02415657043457
188,-8.339227676391602,-9.195960998535156
189,-8.277358055114746,-9.104891777038574
190,-9.92591667175293,-9.901956558227539
191,-8.470773696899414,-9.73206901550293
192,-9.911145210266113,-9.746813774108887
193,-8.464988708496094,-9.320111274719238
194,-8.084007263183594,-8.859052658081055
195,-8.244017601013184,-9.060198783874512
196,-8.231898307800293,-8.967214584350586
197,-10.089790344238281,-10.143059730529785
198,-8.558624267578125,-10.128867149353027
199,-10.061129570007324,-10.06676959991455
200,-8.633971214294434,-9.777128219604492
201,-8.328145980834961,-9.309000968933105
202,-8.586670875549316,-9.605315208435059
203,-8.45333480834961,-9.48760986328125
204,-10.403575897216797,-10.25711441040039
205,-8.888938903808594,-10.198898315429688
206,-10.355908393859863,-10.177261352539062
207,-8.915245056152344,-9.837048530578613
208,-8.519000053405762,-9.384337425231934
209,-8.715985298156738,-9.552669525146484
210,-8.582198143005371,-9.41064167022705
211,-8.897732734680176,-9.138792991638184
212,-7.835554122924805,-9.465479850769043
213,-8.882375717163086,-9.154500961303711
214,-7.940493106842041,-8.912237167358398
215,-7.571779727935791,-8.502335548400879
216,-7.497297286987305,-8.506927490234375
217,-7.693832874298096,-8.531847953796387
218,-8.937555313110352,-9.121919631958008
219,-7.632563591003418,-9.042070388793945
220,-8.898923873901367,-8.95173454284668
221,-7.9848456382751465,-8.861266136169434
222,-7.639315128326416,-8.475912094116211
223,-7.704419136047363,-8.461301803588867
224,-7.705499172210693,-8.45383358001709
225,-8.755167007446289,-9.056744575500488
226,-8.028326988220215,-9.520855903625488
227,-8.646293640136719,-8.898168563842773
228,-8.187426567077637,-8.98202896118164
229,-7.753492832183838,-8.530740737915039
230,-7.734734535217285,-8.548334121704102
231,-7.964173793792725,-8.656637191772461
232,-8.469562530517578,-8.62155818939209
233,-7.717565059661865,-9.152046203613281
234,-8.307113647460938,-8.346792221069336
235,-7.744117736816406,-8.678791046142578
236,-7.310599327087402,-8.241170883178711
237,-7.456460475921631,-8.357576370239258
238,-7.2249436378479,-8.057027816772461
239,-8.52434253692627,-8.718313217163086
240,-7.619576930999756,-9.049562454223633
241,-8.287419319152832,-8.337076187133789
242,-7.622143745422363,-8.350516319274902
243,-7.24458122253418,-7.910454273223877
244,-7.263426780700684,-7.958839416503906
245,-7.30677604675293,-7.877870082855225
246,-8.494894027709961,-8.794842720031738
247,-7.6176228523254395,-9.084680557250977
248,-8.30819320678711,-8.372912406921387
249,-7.558361053466797,-8.446368217468262
250,-7.0295305252075195,-7.858506202697754
251,-7.09832239151001,-7.916758060455322
252,-6.864557266235352,-7.767765045166016
253,-8.766008377075195,-8.933645248413086
254,-7.879594326019287,-9.273015975952148
255,-8.587142944335938,-8.666565895080566
256,-7.787487983703613,-8.545991897583008
257,-7.539643287658691,-8.19553279876709
258,-7.5506672859191895,-8.182246208190918
259,-7.659049987792969,-8.231995582580566
260,-8.697380065917969,-8.893762588500977
261,-7.764870643615723,-9.219465255737305
262,-8.45559310913086,-8.57894515991211
263,-7.757443428039551,-8.612117767333984
264,-7.363701343536377,-8.165351867675781
265,-7.457159996032715,-8.228782653808594
266,-7.629216194152832,-8.227385520935059
267,-8.706649780273438,-8.944730758666992
268,-7.940168857574463,-9.45326042175293
269,-8.607419967651367,-8.744375228881836
270,-7.95573091506958,-8.845046043395996
271,-7.581802845001221,-8.433067321777344
272,-7.673886299133301,-8.574687957763672
273,-7.790673732757568,-8.507162094116211
274,-9.199527740478516,-9.259855270385742
275,-8.044163703918457,-9.473769187927246
276,-8.992568969726562,-8.960410118103027
277,-8.270052909851074,-9.044234275817871
278,-7.840156555175781,-8.590910911560059
279,-7.888361930847168,-8.57203197479248
280,-7.945188999176025,-8.539420127868652
281,-9.267404556274414,-9.249635696411133
282,-8.174776077270508,-9.713972091674805
283,-9.331613540649414,-9.310422897338867
284,-8.212742805480957,-9.223785400390625
285,-7.878693103790283,-8.8265962600708
286,-7.852109432220459,-8.851856231689453
287,-7.9198384284973145,-8.860647201538086
288,-9.386316299438477,-9.256152153015137
289,-8.120319366455078,-9.380367279052734
290,-9.344252586364746,-9.11750602722168
291,-8.496062278747559,-9.415489196777344
292,-8.189239501953125,-9.091739654541016
