idx,good_score,bad_score
1,-8.111297607421875,-8.419482231140137
2,-7.160306453704834,-8.700163841247559
3,-8.462408065795898,-8.647256851196289
4,-6.958024024963379,-7.951953887939453
5,-6.550483226776123,-7.4449028968811035
6,-6.590081691741943,-7.5059494972229
7,-6.612920761108398,-7.475362777709961
8,-7.568530559539795,-7.645292282104492
9,-6.49373197555542,-7.910540580749512
10,-8.025524139404297,-7.974272727966309
11,-6.518453598022461,-7.299210071563721
12,-6.285191535949707,-7.067779541015625
13,-6.377070426940918,-7.123681545257568
14,-6.322388172149658,-7.050237655639648
15,-8.240510940551758,-8.317087173461914
16,-7.0953569412231445,-8.586706161499023
17,-8.406600952148438,-8.4556303024292
18,-7.119083404541016,-7.963567733764648
19,-6.8213934898376465,-7.609543323516846
20,-6.874760150909424,-7.652144432067871
21,-6.902872562408447,-7.625366687774658
22,-7.966732978820801,-8.127238273620605
23,-6.8330512046813965,-8.381020545959473
24,-8.316965103149414,-8.416159629821777
25,-6.910393238067627,-7.662497520446777
26,-6.595703601837158,-7.326268196105957
27,-6.731987476348877,-7.421349048614502
28,-6.599690914154053,-7.337686061859131
29,-8.043898582458496,-8.161513328552246
30,-7.126336574554443,-8.557101249694824
31,-8.333934783935547,-8.454328536987305
32,-7.122887134552002,-8.020360946655273
33,-6.748316764831543,-7.568607330322266
34,-6.853365421295166,-7.609592437744141
35,-6.836348533630371,-7.573158264160156
36,-7.883505821228027,-8.000959396362305
37,-7.044857978820801,-8.401165008544922
38,-8.09756088256836,-8.082023620605469
39,-7.00784969329834,-7.775689601898193
40,-6.555120468139648,-7.241701602935791
41,-6.649652481079102,-7.3135480880737305
42,-6.656110763549805,-7.2982563972473145
43,-8.091187477111816,-8.265642166137695
44,-7.033034324645996,-8.418387413024902
45,-8.16488265991211,-8.339400291442871
46,-6.9596848487854,-7.932668209075928
47,-6.7383036613464355,-7.669629096984863
48,-6.766368389129639,-7.5985188484191895
49,-6.772402286529541,-7.6060380935668945
50,-7.9963531494140625,-8.109661102294922
51,-7.024560451507568,-8.379291534423828
52,-8.185022354125977,-8.346420288085938
53,-7.037169456481934,-7.934532642364502
54,-6.646907329559326,-7.497881889343262
55,-6.662196636199951,-7.421006679534912
56,-6.834711074829102,-7.590676307678223
57,-8.208608627319336,-8.573471069335938
58,-7.152590274810791,-8.46419620513916
59,-8.573511123657227,-8.774518966674805
60,-7.186394214630127,-8.092727661132812
61,-6.894599914550781,-7.7338032722473145
62,-6.885748863220215,-7.68242883682251
63,-6.965890407562256,-7.772446632385254
64,-8.789915084838867,-8.800650596618652
65,-7.673705101013184,-9.026296615600586
66,-9.035101890563965,-9.07170295715332
67,-7.593430042266846,-8.377006530761719
68,-7.18250036239624,-7.917433738708496
69,-7.277430057525635,-8.001184463500977
70,-7.315544605255127,-7.962314605712891
71,-8.967758178710938,-9.071799278259277
