idx,good_score,bad_score
1,-8.18624210357666,-8.244009017944336
2,-6.886383056640625,-8.451986312866211
3,-8.296159744262695,-8.261280059814453
4,-6.704834938049316,-7.600393295288086
5,-6.373621463775635,-7.086861610412598
6,-6.504676342010498,-7.333518028259277
7,-6.50307559967041,-7.2639336585998535
8,-7.846761703491211,-7.786849498748779
9,-6.619381904602051,-8.105655670166016
10,-7.75214958190918,-7.845346450805664
11,-6.6551899909973145,-7.6106462478637695
12,-6.286324501037598,-7.0241899490356445
13,-6.362842082977295,-7.27243709564209
14,-6.513056755065918,-7.236067295074463
15,-8.468404769897461,-8.439077377319336
16,-7.651629447937012,-9.282890319824219
17,-8.535114288330078,-8.670701026916504
18,-7.452332496643066,-8.388555526733398
19,-6.986412525177002,-7.8406662940979
20,-7.082730293273926,-8.054373741149902
21,-7.08958101272583,-7.85612678527832
22,-8.111915588378906,-8.12680721282959
23,-7.010194778442383,-8.515995025634766
24,-8.241223335266113,-8.346890449523926
25,-6.930850982666016,-7.875713348388672
26,-6.55919885635376,-7.5294389724731445
27,-6.8177571296691895,-7.820467472076416
28,-6.770380020141602,-7.531783103942871
29,-7.79750394821167,-7.825345039367676
30,-6.916803359985352,-8.497989654541016
31,-8.142210006713867,-8.288910865783691
32,-6.955352783203125,-7.995922088623047
33,-6.64551305770874,-7.484648704528809
34,-6.853433609008789,-7.7552571296691895
35,-6.683837413787842,-7.488797664642334
36,-7.233689308166504,-7.317971229553223
37,-6.401169300079346,-7.764204025268555
38,-7.497777938842773,-7.489193916320801
39,-6.398192405700684,-7.3738203048706055
40,-6.0324625968933105,-6.800620079040527
41,-6.210831642150879,-6.918130874633789
42,-6.2434163093566895,-7.049156665802002
43,-8.302913665771484,-8.152946472167969
44,-7.167741775512695,-8.681692123413086
45,-8.444107055664062,-8.567530632019043
46,-7.00150203704834,-8.012473106384277
47,-6.818469524383545,-7.619077682495117
48,-6.927544116973877,-7.784029483795166
49,-7.041211128234863,-7.751672267913818
50,-7.908529281616211,-7.974624156951904
51,-6.893515586853027,-8.386594772338867
52,-8.165433883666992,-8.274626731872559
53,-6.842841148376465,-7.848843574523926
54,-6.491572856903076,-7.298065185546875
55,-6.6900954246521,-7.577992916107178
56,-6.743266582489014,-7.58884334564209
57,-8.29191780090332,-8.396747589111328
58,-7.200437068939209,-8.757925987243652
59,-8.44293212890625,-8.595809936523438
60,-7.256231307983398,-8.259742736816406
61,-6.7324910163879395,-7.68233585357666
62,-7.101434230804443,-8.02994441986084
63,-7.055335998535156,-7.9314703941345215
64,-8.783520698547363,-8.754512786865234
65,-7.677783012390137,-9.192017555236816
66,-9.016858100891113,-9.00253677368164
67,-7.557154178619385,-8.438693046569824
68,-7.0837578773498535,-7.8718743324279785
69,-7.340756416320801,-8.123659133911133
70,-7.265416145324707,-8.00788402557373
71,-8.610546112060547,-8.602516174316406
72,-7.332346439361572,-8.737464904785156
73,-8.83056926727295,-8.71551513671875
74,-7.332819938659668,-8.135260581970215
75,-6.977445602416992,-7.743535995483398
76,-7.092302322387695,-7.883110046386719
77,-7.109928607940674,-7.953470230102539
78,-8.303686141967773,-8.067052841186523
79,-7.105457305908203,-8.461050033569336
80,-8.367109298706055,-8.247354507446289
81,-7.316956520080566,-8.258552551269531
82,-6.998841285705566,-7.768829822540283
83,-7.232598304748535,-8.0940580368042
84,-6.91324520111084,-7.887121200561523
85,-8.742853164672852,-8.485610961914062
86,-7.90588903427124,-9.345796585083008
87,-8.97230052947998,-8.781620025634766
88,-7.85489559173584,-8.703097343444824
89,-7.330145835876465,-8.090341567993164
90,-7.520139694213867,-8.416494369506836
91,-7.486581325531006,-8.32257080078125
92,-8.430267333984375,-8.253231048583984
93,-7.410844802856445,-8.741899490356445
94,-8.66467571258545,-8.469640731811523
95,-7.431765079498291,-8.298667907714844
96,-7.115415573120117,-7.990426063537598
97,-7.426187992095947,-8.314648628234863
98,-7.2150726318359375,-8.026564598083496
99,-8.416131973266602,-8.158233642578125
100,-7.430150032043457,-8.821555137634277
101,-8.779562950134277,-8.499414443969727
102,-7.570911407470703,-8.45154094696045
103,-7.097488880157471,-7.910638332366943
104,-7.335674285888672,-8.190855979919434
105,-7.139681339263916,-7.9910969734191895
106,-7.871076583862305,-7.777416229248047
107,-7.170783042907715,-8.413078308105469
108,-8.21215534210205,-7.979543209075928
109,-7.024145126342773,-7.910269260406494
110,-6.669823169708252,-7.460655689239502
111,-6.802618026733398,-7.5809645652771
112,-6.794993877410889,-7.640727996826172
113,-8.70544147491455,-8.458008766174316
114,-7.652982711791992,-8.955972671508789
115,-8.950031280517578,-8.779085159301758
116,-7.608116626739502,-8.605789184570312
117,-7.210545539855957,-8.07055950164795
118,-7.386923313140869,-8.303305625915527
119,-7.339943885803223,-8.278909683227539
120,-8.412956237792969,-8.327123641967773
121,-7.360692024230957,-8.735234260559082
122,-8.70536994934082,-8.547581672668457
123,-7.44822359085083,-8.309745788574219
124,-6.920359134674072,-7.739800930023193
125,-7.068456649780273,-7.922311782836914
126,-7.194189071655273,-8.070732116699219
127,-8.850921630859375,-8.750481605529785
128,-7.707979202270508,-9.096757888793945
129,-9.142284393310547,-9.019369125366211
130,-7.88834810256958,-8.861433982849121
131,-7.37450647354126,-8.268519401550293
132,-7.628989219665527,-8.531791687011719
133,-7.578729629516602,-8.533287048339844
134,-9.127766609191895,-8.933103561401367
135,-8.189374923706055,-9.617456436157227
136,-9.510738372802734,-9.270147323608398
137,-8.177173614501953,-9.00717544555664
138,-7.656158924102783,-8.415969848632812
139,-7.890305042266846,-8.707091331481934
140,-7.823593616485596,-8.616800308227539
141,-8.848396301269531,-8.713838577270508
142,-7.481705665588379,-9.006110191345215
143,-8.959583282470703,-8.853434562683105
144,-7.33432674407959,-8.284369468688965
145,-7.037120819091797,-7.883411407470703
146,-7.034309387207031,-7.950390815734863
147,-7.156068325042725,-8.078993797302246
148,-8.837560653686523,-8.512953758239746
149,-7.376900672912598,-8.833545684814453
150,-8.798018455505371,-8.679712295532227
151,-7.498577117919922,-8.631957054138184
152,-7.16753625869751,-8.148224830627441
153,-7.332765102386475,-8.377812385559082
154,-7.162431240081787,-8.207991600036621
155,-9.304521560668945,-9.010543823242188
156,-8.091145515441895,-9.567096710205078
157,-9.37986946105957,-9.202369689941406
158,-7.948235988616943,-8.896014213562012
159,-7.392792701721191,-8.287452697753906
160,-7.5364670753479,-8.52295970916748
161,-7.617639541625977,-8.565382957458496
162,-8.934050559997559,-8.632925033569336
163,-7.515128135681152,-8.959418296813965
164,-8.945600509643555,-8.799036026000977
165,-7.43379020690918,-8.344032287597656
166,-6.990224361419678,-7.956957817077637
167,-7.333698749542236,-8.241039276123047
168,-7.128417015075684,-8.00466537475586
169,-8.830886840820312,-8.553706169128418
170,-7.480416297912598,-9.001724243164062
171,-9.05000114440918,-8.856546401977539
172,-7.659430027008057,-8.608854293823242
173,-7.147573471069336,-7.960448265075684
174,-7.357248306274414,-8.2915678024292
175,-7.156477928161621,-8.118328094482422
176,-8.118780136108398,-7.985115051269531
177,-6.946762561798096,-8.285372734069824
178,-8.336383819580078,-8.119441032409668
179,-6.765222072601318,-7.7610764503479
180,-6.292652606964111,-7.237359523773193
181,-6.4582343101501465,-7.345392227172852
182,-6.4836602210998535,-7.387624740600586
183,-9.060844421386719,-8.72370433807373
184,-7.676271438598633,-9.117995262145996
185,-9.160776138305664,-9.01358413696289
186,-7.403245449066162,-8.582748413085938
187,-7.076763153076172,-8.081185340881348
188,-7.143005847930908,-8.13001537322998
189,-7.174773216247559,-8.230940818786621
190,-8.844919204711914,-8.608904838562012
191,-7.4766740798950195,-8.984305381774902
192,-8.97400188446045,-8.803850173950195
193,-7.452176094055176,-8.470444679260254
194,-6.9459004402160645,-7.908079147338867
195,-7.15216588973999,-8.094557762145996
196,-7.241390228271484,-8.248043060302734
197,-9.228586196899414,-9.027040481567383
198,-7.751680374145508,-9.294961929321289
199,-9.324396133422852,-9.226533889770508
200,-7.81049919128418,-8.90876579284668
201,-7.284364223480225,-8.300436019897461
202,-7.600592613220215,-8.634317398071289
203,-7.49856424331665,-8.497467041015625
204,-9.642321586608887,-9.428534507751465
205,-8.30728816986084,-9.782137870788574
206,-9.82956600189209,-9.555091857910156
207,-8.148519515991211,-9.135231018066406
208,-7.725726127624512,-8.613001823425293
209,-7.881613731384277,-8.824655532836914
210,-7.850808620452881,-8.753692626953125
211,-8.207783699035645,-8.347949028015137
212,-7.0089898109436035,-8.51406192779541
213,-8.223255157470703,-8.266426086425781
214,-6.799083232879639,-7.697910308837891
215,-6.500084400177002,-7.264519214630127
216,-6.496255874633789,-7.30253267288208
217,-6.558260440826416,-7.359793186187744
218,-8.138344764709473,-8.037956237792969
219,-6.905702114105225,-8.342296600341797
220,-7.927699565887451,-7.896712779998779
221,-6.887601852416992,-7.872399806976318
222,-6.657951831817627,-7.434396266937256
223,-6.76311731338501,-7.58554744720459
224,-6.651048183441162,-7.433287143707275
225,-8.31815242767334,-8.335739135742188
226,-7.5622148513793945,-9.096853256225586
227,-8.301074028015137,-8.355761528015137
228,-7.315945148468018,-8.25885009765625
229,-7.03032922744751,-7.857908248901367
230,-7.010761260986328,-7.9055376052856445
231,-7.073339462280273,-7.780228137969971
232,-7.577838897705078,-7.590318202972412
233,-6.814725875854492,-8.235722541809082
234,-7.514189720153809,-7.514804363250732
235,-6.740978717803955,-7.628253936767578
236,-6.335962772369385,-7.241761207580566
237,-6.562640190124512,-7.484546661376953
238,-6.290818214416504,-7.080516815185547
239,-7.323270320892334,-7.39258337020874
240,-6.58156156539917,-8.018083572387695
241,-7.523643493652344,-7.624923229217529
242,-6.614648342132568,-7.598694324493408
243,-6.416666507720947,-7.198593616485596
244,-6.490358829498291,-7.340046405792236
245,-6.303843021392822,-7.077136993408203
246,-7.3138275146484375,-7.442198753356934
247,-6.459474563598633,-7.801427841186523
248,-7.2667741775512695,-7.186767578125
249,-6.6342644691467285,-7.361376762390137
