idx,good_score,bad_score
1,-8.068572044372559,-8.402087211608887
2,-7.159034729003906,-8.914030075073242
3,-8.25721263885498,-8.47174072265625
4,-7.0651421546936035,-7.933428764343262
5,-6.71671199798584,-7.464894771575928
6,-6.75056266784668,-7.500450134277344
7,-6.782973289489746,-7.577295780181885
8,-7.837737083435059,-8.118017196655273
9,-6.966695308685303,-8.353555679321289
10,-7.9709601402282715,-8.044790267944336
11,-6.913940906524658,-7.8293023109436035
12,-6.693974494934082,-7.455985069274902
13,-6.849661827087402,-7.5217719078063965
14,-6.871466636657715,-7.558328151702881
15,-8.453009605407715,-8.655563354492188
16,-7.453615665435791,-9.089037895202637
17,-8.408347129821777,-8.543699264526367
18,-7.34903621673584,-8.141995429992676
19,-7.20676326751709,-7.80832052230835
20,-7.280874252319336,-7.844728469848633
21,-7.349191188812256,-7.965867519378662
22,-8.234783172607422,-8.414615631103516
23,-7.264264106750488,-8.85539436340332
24,-8.328897476196289,-8.435035705566406
25,-7.214956283569336,-8.040950775146484
26,-6.947668075561523,-7.699791431427002
27,-7.030392646789551,-7.72925329208374
28,-7.094030380249023,-7.752478122711182
29,-7.90860652923584,-8.122243881225586
30,-7.174828052520752,-8.72452163696289
31,-8.054945945739746,-8.242206573486328
32,-7.138307094573975,-7.953598499298096
33,-6.878175258636475,-7.53555965423584
34,-6.940375328063965,-7.562626838684082
35,-6.96798849105835,-7.607938766479492
36,-7.992397308349609,-8.149707794189453
37,-7.048332691192627,-8.446552276611328
38,-8.05472183227539,-8.036415100097656
39,-6.994451522827148,-7.870952606201172
40,-6.6365790367126465,-7.408583641052246
41,-6.754307270050049,-7.471211910247803
42,-6.753737926483154,-7.471225738525391
43,-8.264067649841309,-8.368437767028809
44,-7.230101585388184,-8.607455253601074
45,-8.200307846069336,-8.333392143249512
46,-7.152149200439453,-8.114623069763184
47,-6.981210708618164,-7.7442779541015625
48,-7.012341499328613,-7.716013431549072
49,-7.155869960784912,-7.8931660652160645
50,-8.183760643005371,-8.329498291015625
51,-7.2211079597473145,-8.655244827270508
52,-8.184854507446289,-8.318157196044922
53,-7.222794055938721,-8.072076797485352
54,-6.983713626861572,-7.660125732421875
55,-7.039900779724121,-7.65415096282959
56,-7.161649703979492,-7.8191094398498535
57,-8.537162780761719,-8.810091018676758
58,-7.583771228790283,-9.199950218200684
59,-8.682384490966797,-8.883047103881836
60,-7.5766682624816895,-8.478106498718262
61,-7.218152046203613,-8.06539535522461
62,-7.333486557006836,-8.117243766784668
63,-7.304314613342285,-8.060518264770508
64,-8.666219711303711,-9.005828857421875
65,-7.741480350494385,-9.138467788696289
66,-8.802733421325684,-8.822123527526855
67,-7.63685417175293,-8.39948844909668
68,-7.34860372543335,-7.972682952880859
69,-7.425339221954346,-8.008502006530762
70,-7.477933883666992,-8.078536987304688
71,-8.777750015258789,-8.601141929626465
72,-7.7718281745910645,-9.141704559326172
73,-9.161516189575195,-8.87097454071045
74,-7.709050178527832,-8.565242767333984
75,-7.438016891479492,-8.146838188171387
76,-7.516740322113037,-8.186887741088867
77,-7.552051544189453,-8.268719673156738
78,-8.422866821289062,-8.24728012084961
79,-7.493254661560059,-8.606635093688965
80,-8.695891380310059,-8.268965721130371
81,-7.486015319824219,-8.349634170532227
82,-7.30474328994751,-7.9877190589904785
83,-7.482771873474121,-8.094343185424805
84,-7.460455894470215,-8.13034439086914
85,-9.183357238769531,-9.031027793884277
86,-8.209837913513184,-9.497148513793945
87,-9.292543411254883,-8.983877182006836
88,-8.004154205322266,-8.844907760620117
89,-7.8610100746154785,-8.437273025512695
90,-7.999410629272461,-8.579401016235352
91,-8.021828651428223,-8.67658519744873
92,-8.986787796020508,-8.663928031921387
93,-7.926106929779053,-9.22810173034668
94,-9.185525894165039,-8.758296012878418
95,-7.813394546508789,-8.646140098571777
96,-7.620201587677002,-8.285967826843262
97,-7.760916233062744,-8.37646198272705
98,-7.799038887023926,-8.412914276123047
99,-8.72568130493164,-8.506948471069336
100,-7.8633623123168945,-9.118473052978516
101,-8.927871704101562,-8.59122371673584
102,-7.763482570648193,-8.592253684997559
103,-7.586671829223633,-8.212583541870117
104,-7.7188191413879395,-8.320901870727539
105,-7.655229091644287,-8.330999374389648
106,-8.54352855682373,-8.315093040466309
107,-7.60534143447876,-8.745058059692383
108,-8.651168823242188,-8.208707809448242
109,-7.5106048583984375,-8.321908950805664
110,-7.1609344482421875,-7.886223316192627
111,-7.321669101715088,-7.965559959411621
112,-7.3338446617126465,-7.986458778381348
113,-8.918070793151855,-8.691986083984375
