idx,good_score,bad_score
1,-8.103678703308105,-8.4572114944458
2,-7.053245544433594,-8.760692596435547
3,-8.232318878173828,-8.601666450500488
4,-6.919492721557617,-7.920262336730957
5,-6.463059425354004,-7.339712142944336
6,-6.53904914855957,-7.491774559020996
7,-6.573173999786377,-7.572962760925293
8,-8.110111236572266,-8.250146865844727
9,-6.865767002105713,-8.220932006835938
10,-7.867265224456787,-8.048534393310547
11,-6.938168525695801,-7.747540473937988
12,-6.6353278160095215,-7.230011940002441
13,-6.763194561004639,-7.41471004486084
14,-6.868466377258301,-7.509260654449463
15,-7.974116802215576,-8.415685653686523
16,-7.3752923011779785,-8.904403686523438
17,-7.973470687866211,-8.38243293762207
18,-7.294002532958984,-8.13691234588623
19,-6.886678218841553,-7.6291704177856445
20,-6.9999823570251465,-7.8765716552734375
21,-6.897264003753662,-7.6660475730896
22,-7.897096633911133,-8.249062538146973
23,-6.999622821807861,-8.516328811645508
24,-8.034854888916016,-8.434024810791016
25,-6.957691192626953,-7.7758989334106445
26,-6.554793834686279,-7.321878433227539
27,-6.75890588760376,-7.584503650665283
28,-6.738195896148682,-7.433948993682861
29,-7.713160514831543,-8.07988166809082
30,-7.001743316650391,-8.454025268554688
31,-7.854129314422607,-8.161389350891113
32,-6.89415168762207,-7.756461143493652
33,-6.567688465118408,-7.259649276733398
34,-6.770344257354736,-7.551950931549072
35,-6.588814735412598,-7.254309177398682
36,-7.750904083251953,-7.980214595794678
37,-6.942071914672852,-8.325082778930664
38,-7.836123943328857,-8.01154613494873
39,-6.981663703918457,-7.638294219970703
40,-6.453825950622559,-7.051887512207031
41,-6.604851245880127,-7.324544429779053
42,-6.652089595794678,-7.302928924560547
43,-7.886157512664795,-8.065449714660645
44,-7.0589375495910645,-8.307622909545898
45,-7.8926920890808105,-8.16431999206543
46,-6.895216941833496,-7.752843856811523
47,-6.710604190826416,-7.33829402923584
48,-6.734587669372559,-7.493141174316406
49,-6.807749271392822,-7.5316925048828125
50,-7.807805061340332,-8.072747230529785
51,-7.031313419342041,-8.421340942382812
52,-7.824491500854492,-8.106213569641113
53,-6.9163713455200195,-7.8261003494262695
54,-6.615339279174805,-7.334604740142822
55,-6.77756404876709,-7.556214332580566
56,-6.779689311981201,-7.610309600830078
57,-8.266743659973145,-8.66087532043457
58,-7.140273094177246,-8.862256050109863
59,-8.131462097167969,-8.471592903137207
60,-7.17206335067749,-8.234524726867676
61,-6.819570064544678,-7.6532392501831055
62,-6.981671333312988,-7.86820125579834
63,-7.021617889404297,-7.941826343536377
64,-8.560792922973633,-8.847196578979492
65,-7.616346836090088,-8.883663177490234
66,-8.526650428771973,-8.741374969482422
67,-7.503454208374023,-8.320586204528809
68,-7.077088832855225,-7.833370208740234
69,-7.222375869750977,-8.045743942260742
70,-7.082934379577637,-7.768324375152588
71,-9.079657554626465,-9.009441375732422
72,-7.880317687988281,-9.20224666595459
73,-9.28498649597168,-9.322005271911621
74,-7.717249393463135,-8.613673210144043
75,-7.364081382751465,-8.163467407226562
76,-7.448668479919434,-8.352627754211426
77,-7.513088226318359,-8.444914817810059
78,-8.79271125793457,-8.552101135253906
79,-7.640110969543457,-8.620567321777344
80,-8.672273635864258,-8.418657302856445
81,-7.530035018920898,-8.316975593566895
82,-7.181548118591309,-7.795251369476318
83,-7.394516468048096,-8.06668472290039
84,-7.4341816902160645,-8.168200492858887
85,-9.09919261932373,-9.091560363769531
86,-8.225251197814941,-9.390693664550781
87,-9.027167320251465,-8.995757102966309
88,-8.03498363494873,-8.82978630065918
89,-7.680281162261963,-8.340816497802734
90,-7.87265682220459,-8.649580001831055
91,-7.808402061462402,-8.63058090209961
92,-8.934743881225586,-8.793066024780273
93,-7.8076372146606445,-8.926614761352539
94,-9.043021202087402,-9.036426544189453
95,-7.759510040283203,-8.44541072845459
96,-7.403459072113037,-7.989602565765381
97,-7.613302230834961,-8.273058891296387
98,-7.5805840492248535,-8.274761199951172
99,-8.865782737731934,-8.6587553024292
100,-8.053016662597656,-9.13211441040039
101,-8.988889694213867,-8.783732414245605
102,-7.772946357727051,-8.485034942626953
103,-7.445355415344238,-8.010518074035645
104,-7.683119773864746,-8.349609375
105,-7.580774307250977,-8.256342887878418
106,-8.662871360778809,-8.580169677734375
107,-7.871732711791992,-8.88696575164795
108,-8.633056640625,-8.430889129638672
109,-7.5239973068237305,-8.202714920043945
110,-7.083026885986328,-7.613815784454346
111,-7.280272006988525,-7.921376705169678
112,-7.356198310852051,-8.066411018371582
113,-8.874919891357422,-8.749765396118164
114,-8.089513778686523,-9.006368637084961
115,-8.926126480102539,-8.828289031982422
116,-7.712433815002441,-8.5361328125
117,-7.471123218536377,-8.128198623657227
118,-7.662966251373291,-8.352009773254395
119,-7.673000335693359,-8.443777084350586
120,-8.906729698181152,-8.755550384521484
121,-7.975174427032471,-9.021681785583496
122,-8.920743942260742,-8.762084007263184
123,-7.762003421783447,-8.584750175476074
124,-7.4717488288879395,-8.117587089538574
125,-7.648655891418457,-8.388818740844727
126,-7.689267158508301,-8.53256893157959
127,-9.284823417663574,-9.178924560546875
128,-7.953597068786621,-9.186681747436523
129,-9.221071243286133,-9.024351119995117
130,-7.923252105712891,-8.812915802001953
131,-7.6220479011535645,-8.347862243652344
132,-7.756912708282471,-8.600529670715332
133,-7.871585845947266,-8.698282241821289
134,-9.712930679321289,-9.357168197631836
135,-8.619085311889648,-9.5726957321167
136,-9.569120407104492,-9.275190353393555
137,-8.287997245788574,-9.027275085449219
138,-7.898831367492676,-8.53283977508545
139,-8.112502098083496,-8.841731071472168
140,-8.086320877075195,-8.798827171325684
141,-8.882194519042969,-8.977298736572266
142,-7.5766472816467285,-8.83243179321289
143,-8.905890464782715,-8.862646102905273
144,-7.565087795257568,-8.4029541015625
145,-7.304562568664551,-7.819443225860596
146,-7.247056007385254,-7.979013919830322
147,-7.373929023742676,-8.186016082763672
148,-8.649252891540527,-8.512109756469727
149,-7.504012107849121,-8.524404525756836
150,-8.502767562866211,-8.323042869567871
151,-7.461264610290527,-8.211503028869629
152,-7.251779079437256,-7.7052388191223145
153,-7.337296009063721,-7.925605773925781
154,-7.388376712799072,-7.9959259033203125
155,-8.948261260986328,-9.089235305786133
156,-8.029411315917969,-9.122095108032227
157,-8.923736572265625,-8.891483306884766
158,-7.887433052062988,-8.55141544342041
159,-7.560588836669922,-7.950039386749268
160,-7.700933933258057,-8.27525806427002
161,-7.663405418395996,-8.272496223449707
162,-8.774675369262695,-8.784602165222168
163,-7.595765590667725,-8.736644744873047
164,-8.812960624694824,-8.762876510620117
165,-7.5859174728393555,-8.302215576171875
166,-7.291395664215088,-7.815929412841797
167,-7.4445624351501465,-8.044397354125977
168,-7.4304046630859375,-8.061640739440918
169,-8.721771240234375,-8.93446159362793
170,-7.909542083740234,-8.886370658874512
171,-8.785262107849121,-8.692591667175293
172,-7.597142696380615,-8.189590454101562
173,-7.356369495391846,-7.7027788162231445
174,-7.552462100982666,-8.013806343078613
175,-7.449681758880615,-7.931252956390381
176,-8.60190200805664,-8.760924339294434
177,-7.566072940826416,-8.600812911987305
178,-8.515830993652344,-8.37448501586914
179,-7.352025985717773,-8.034640312194824
180,-7.033929824829102,-7.527992248535156
181,-7.116547107696533,-7.7764434814453125
182,-7.2071533203125,-7.801893711090088
183,-8.86445426940918,-8.813413619995117
184,-7.843336582183838,-8.80517578125
185,-8.892699241638184,-8.754961013793945
186,-7.6239728927612305,-8.353025436401367
187,-7.4847235679626465,-7.935421943664551
188,-7.5635504722595215,-8.135974884033203
189,-7.581277370452881,-8.226189613342285
190,-8.787946701049805,-8.735804557800293
191,-7.748383045196533,-8.799837112426758
192,-8.774227142333984,-8.675559043884277
193,-7.749882221221924,-8.470990180969238
194,-7.510911464691162,-7.948815822601318
195,-7.608007907867432,-8.18000316619873
196,-7.654524803161621,-8.336021423339844
197,-9.074580192565918,-9.006617546081543
198,-7.6946702003479,-8.998289108276367
199,-9.04455852508545,-8.88764476776123
200,-7.886172294616699,-8.752952575683594
201,-7.667535305023193,-8.172386169433594
202,-7.7766218185424805,-8.485897064208984
203,-7.765192031860352,-8.513392448425293
204,-9.712024688720703,-9.741095542907715
205,-8.472688674926758,-9.544729232788086
206,-9.601466178894043,-9.407432556152344
207,-8.272774696350098,-8.999077796936035
208,-7.947502613067627,-8.397798538208008
209,-8.089850425720215,-8.724393844604492
210,-8.062663078308105,-8.664226531982422
211,-7.999995231628418,-8.46643352508545
212,-6.992828845977783,-8.558826446533203
213,-8.106786727905273,-8.385730743408203
214,-6.903136253356934,-7.807821273803711
215,-6.4384989738464355,-7.229334831237793
216,-6.499514579772949,-7.3520002365112305
217,-6.596495151519775,-7.499794960021973
218,-7.944622039794922,-8.121051788330078
219,-7.024697780609131,-8.092696189880371
220,-7.785816192626953,-7.876518249511719
221,-6.9153265953063965,-7.784661769866943
222,-6.608853340148926,-7.233977317810059
223,-6.681292533874512,-7.3480048179626465
224,-6.778115272521973,-7.467792510986328
225,-7.859378814697266,-8.421295166015625
226,-7.311537265777588,-8.744902610778809
227,-7.887310028076172,-8.228629112243652
228,-7.2396931648254395,-8.069097518920898
229,-6.849217414855957,-7.5555739402771
230,-6.924616813659668,-7.76009464263916
231,-6.85407829284668,-7.727409839630127
232,-7.729835510253906,-8.089068412780762
233,-6.934200286865234,-8.35413932800293
234,-7.7981719970703125,-8.09168529510498
235,-6.874548435211182,-7.565382957458496
