idx,good_score,bad_score
1,-7.6459455490112305,-8.388946533203125
2,-6.958539962768555,-8.685333251953125
3,-7.930126190185547,-8.313102722167969
4,-6.654904365539551,-7.505481719970703
5,-6.386012554168701,-7.140843868255615
6,-6.4209089279174805,-7.175118923187256
7,-6.384520530700684,-7.1937947273254395
8,-7.331639766693115,-7.650115013122559
9,-6.367400646209717,-7.637508392333984
10,-7.512166500091553,-7.592824459075928
11,-6.380455493927002,-7.292079925537109
12,-6.31587028503418,-7.047841548919678
13,-6.325512409210205,-7.002183437347412
14,-6.343616008758545,-7.085394382476807
15,-7.776294708251953,-8.423070907592773
16,-6.809512615203857,-8.319502830505371
17,-7.996358394622803,-8.456286430358887
18,-6.955210208892822,-7.82855749130249
19,-6.756143093109131,-7.499585151672363
20,-6.764575481414795,-7.474132537841797
21,-6.813322067260742,-7.539225101470947
22,-7.632777214050293,-8.096037864685059
23,-6.813962936401367,-8.434598922729492
24,-7.877159118652344,-8.141237258911133
25,-6.712109088897705,-7.523567199707031
26,-6.505253314971924,-7.247855186462402
27,-6.5323286056518555,-7.212834358215332
28,-6.539865970611572,-7.21506404876709
29,-7.5084991455078125,-7.977599143981934
30,-6.829015731811523,-8.385948181152344
31,-7.678225517272949,-8.018671035766602
32,-6.770208358764648,-7.58593225479126
33,-6.553856372833252,-7.26983118057251
34,-6.545168399810791,-7.2225446701049805
35,-6.546716213226318,-7.197954177856445
36,-7.32077693939209,-7.757052421569824
37,-6.446238040924072,-7.881813049316406
38,-7.4342803955078125,-7.589763641357422
39,-6.307452201843262,-7.128475189208984
40,-6.078097820281982,-6.768521308898926
41,-6.065648078918457,-6.739899158477783
42,-6.0578932762146,-6.739212512969971
43,-7.506335258483887,-7.92609167098999
44,-6.6422624588012695,-8.121542930603027
45,-7.493455410003662,-7.979186058044434
46,-6.651494026184082,-7.543023586273193
47,-6.547287464141846,-7.222459316253662
48,-6.540528297424316,-7.194798469543457
49,-6.557653903961182,-7.3115315437316895
50,-7.665404319763184,-8.051851272583008
51,-6.729807376861572,-8.226324081420898
52,-7.811641693115234,-8.045101165771484
53,-6.801557540893555,-7.7323737144470215
54,-6.515141487121582,-7.271503448486328
55,-6.457136154174805,-7.190411567687988
56,-6.613025188446045,-7.3829426765441895
57,-7.878237724304199,-8.500441551208496
58,-6.987741470336914,-8.63028335571289
59,-8.019129753112793,-8.60718059539795
60,-7.111733913421631,-8.007087707519531
61,-6.814025402069092,-7.589245319366455
62,-6.8796257972717285,-7.609935760498047
63,-6.796597480773926,-7.545982837677002
64,-8.152986526489258,-8.699610710144043
65,-7.0961079597473145,-8.352676391601562
66,-8.2626953125,-8.457052230834961
67,-7.131418704986572,-7.986989498138428
68,-6.873758792877197,-7.63129186630249
69,-6.888216018676758,-7.597561836242676
70,-6.842023849487305,-7.559208869934082
71,-8.391435623168945,-8.295591354370117
72,-7.379711151123047,-8.934524536132812
73,-8.732481002807617,-8.521839141845703
74,-7.323824405670166,-7.920401573181152
75,-6.995829105377197,-7.5511064529418945
76,-7.162394046783447,-7.682350158691406
77,-7.063931465148926,-7.622576713562012
78,-8.200105667114258,-7.971255302429199
79,-6.935902118682861,-7.995893478393555
80,-8.313573837280273,-7.880173683166504
81,-7.067920684814453,-7.641239166259766
82,-6.974072456359863,-7.492534637451172
83,-7.113141059875488,-7.583736419677734
84,-7.063570499420166,-7.579137802124023
85,-8.641651153564453,-8.419960021972656
86,-7.301171779632568,-8.637535095214844
87,-8.863312721252441,-8.587747573852539
88,-7.568687438964844,-8.11905288696289
89,-7.360739231109619,-7.90031623840332
90,-7.5305986404418945,-8.018341064453125
91,-7.551516056060791,-8.063145637512207
92,-8.406647682189941,-8.227956771850586
93,-7.3027729988098145,-8.703035354614258
94,-8.627958297729492,-8.286569595336914
95,-7.192440986633301,-7.760614395141602
96,-7.060699939727783,-7.643974304199219
97,-7.237137317657471,-7.7658867835998535
98,-7.182560920715332,-7.720029354095459
99,-8.44909381866455,-8.1488037109375
100,-7.378559589385986,-8.773944854736328
101,-8.632293701171875,-8.258240699768066
102,-7.440304756164551,-7.9886040687561035
103,-7.204020023345947,-7.716175079345703
104,-7.377129554748535,-7.847661018371582
105,-7.319899559020996,-7.806049346923828
106,-8.226788520812988,-8.17197036743164
107,-6.990503787994385,-8.237443923950195
108,-8.28211784362793,-7.916888236999512
109,-7.076870918273926,-7.657361030578613
110,-6.847447395324707,-7.363867282867432
111,-6.931238651275635,-7.420185089111328
112,-6.906862258911133,-7.444126129150391
113,-8.590843200683594,-8.330070495605469
114,-7.277466297149658,-8.599618911743164
115,-8.591428756713867,-8.385950088500977
116,-7.393583297729492,-8.02164363861084
117,-7.225895881652832,-7.786270618438721
118,-7.393795967102051,-7.891198635101318
119,-7.404850006103516,-7.958360195159912
120,-8.501708984375,-8.192895889282227
121,-7.312918663024902,-8.621915817260742
122,-8.672840118408203,-8.258727073669434
123,-7.477312088012695,-8.076590538024902
124,-7.182419776916504,-7.744072437286377
125,-7.270927906036377,-7.806737422943115
126,-7.38232421875,-7.950181484222412
127,-8.858840942382812,-8.7399320602417
128,-7.550812244415283,-8.994976043701172
129,-8.992544174194336,-8.871163368225098
130,-7.69644832611084,-8.376829147338867
131,-7.443012237548828,-8.053746223449707
132,-7.662900447845459,-8.239230155944824
133,-7.609037399291992,-8.202692031860352
134,-9.078189849853516,-8.729516983032227
135,-7.803802967071533,-8.898506164550781
136,-9.11601448059082,-8.626672744750977
137,-7.850590705871582,-8.419227600097656
138,-7.5401458740234375,-8.05748462677002
139,-7.75070858001709,-8.216180801391602
140,-7.699712753295898,-8.203831672668457
141,-8.401070594787598,-8.290661811828613
142,-7.381284713745117,-8.82626724243164
143,-8.661369323730469,-8.416467666625977
144,-7.249169826507568,-7.819116115570068
145,-7.033286094665527,-7.511167526245117
146,-7.144977569580078,-7.571984767913818
147,-7.063668251037598,-7.610894203186035
148,-8.291238784790039,-8.115598678588867
149,-7.0188679695129395,-8.058486938476562
150,-8.377461433410645,-7.960943222045898
151,-7.119449615478516,-7.701109886169434
152,-7.074469089508057,-7.562699794769287
153,-7.101524829864502,-7.53452730178833
154,-7.079207420349121,-7.614889144897461
155,-8.842469215393066,-8.732826232910156
156,-7.37972354888916,-8.658536911010742
157,-8.964634895324707,-8.793867111206055
158,-7.655073165893555,-8.269899368286133
159,-7.508401393890381,-8.0541410446167
160,-7.601562976837158,-8.082411766052246
161,-7.639145374298096,-8.210082054138184
162,-8.614526748657227,-8.38442325592041
163,-7.451709747314453,-8.791936874389648
164,-8.810619354248047,-8.44375991821289
165,-7.334104537963867,-7.916287422180176
166,-7.2061333656311035,-7.762598514556885
167,-7.286718368530273,-7.766120910644531
168,-7.293689727783203,-7.837843894958496
169,-8.49373722076416,-8.209615707397461
170,-7.336884021759033,-8.671182632446289
171,-8.64266586303711,-8.280342102050781
172,-7.42447566986084,-8.031116485595703
173,-7.234585762023926,-7.752235412597656
174,-7.334344387054443,-7.784048557281494
175,-7.254418849945068,-7.795602798461914
176,-8.317975997924805,-8.245194435119629
177,-6.97161865234375,-8.139822006225586
178,-8.260673522949219,-7.936782360076904
179,-7.104659080505371,-7.689792633056641
180,-6.912546634674072,-7.401438236236572
181,-6.930304050445557,-7.3866095542907715
182,-6.9040632247924805,-7.454604148864746
183,-8.621963500976562,-8.422971725463867
184,-7.273806571960449,-8.52045726776123
185,-8.622447967529297,-8.462458610534668
186,-7.46727991104126,-8.125950813293457
187,-7.340198516845703,-7.884775638580322
188,-7.430357456207275,-7.887827396392822
189,-7.428613185882568,-8.009571075439453
190,-8.602497100830078,-8.342659950256348
191,-7.3389482498168945,-8.587274551391602
192,-8.686982154846191,-8.35080623626709
193,-7.505739688873291,-8.173155784606934
194,-7.258995532989502,-7.8331804275512695
195,-7.281279563903809,-7.797318935394287
196,-7.4032368659973145,-8.033167839050293
197,-8.886007308959961,-8.734004974365234
198,-7.549188613891602,-8.90306568145752
199,-8.922370910644531,-8.832802772521973
